pmEvent Name,Event Id,Event Type,Event Description and Trigger,Message Trace Depth (UE Trace),Interface Classification,OSS protocol definition (not used by eNB). Used for grouping pmEvents into groups in the Cell traceGUI (and sent by PMS/OSS at configuration/filter for a scanner),OSS Event Groups,Pico Support (Y/N),Deprecated since
INTERNAL_EVENT_FILE_CONTENT_REMOVED_FOR_HIGHER_PRIORITY_FILES,5295,RBS,"Triggered when PM event ROP file contents are removed to secure free space for higher priority PM event ROP files, and notify downstream processing systems that Cell/UE trace file contents have been removed. This event is only applicable in Baseband Radio Node. This event is applicable in Baseband RadioNode but not applicable in extension baseband unit in multiple Baseband RadioNode.",,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_FLEX_FILTER_ISSUE,5276,RBS,This event is generated if configured filter parameters are not applicable to an activated base flexible counter when a scanner is activated or new filter configuration is applied.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_FREQ_REL_ADD,5168,Cell,When the frequency relation MO is automatically added.,2,UU,INTERNAL,,N,
INTERNAL_EVENT_HO_WRONG_CELL,5205,Cell,Sent when the eNB detects a HO to wrong cell as defined in 3GPP TS 36.300,"1,2,4,5",X2,INTERNAL,HANDOVER_EVALUATION,N,
INTERNAL_EVENT_HO_WRONG_CELL_REEST,5206,Cell,Sent when the eNB detects a HO to wrong cell as defined in 3GPP TS 36.300. The event contains the identity of the relation to the cell where UE reestablishment occurred.,"1,2,4,5",X2,INTERNAL,HANDOVER_EVALUATION,N,
INTERNAL_EVENT_IMLB_ACTION,5198,Cell,Sent when Idle Mode Load Balancing modifies thresholds values in the high priority cell or in the low priority cell.,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_IMLB_CONTROL,5197,Cell,Sent when either Idle Mode Load Balancing is started or stopped,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_INTEGRITY_VER_FAIL_RRC_MSG,5134,UE,At failed MAC-I verification of a RRC message,"0,1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_IP_ADDR_GET_FAILURE,5171,RBS,"Retrieving an X2 IP Address has failed; the feature ""X2 IP Address via S1"" is not active and the alternative retrieval requires a Domain Name that does not exist.",2,S1,INTERNAL,,N,
INTERNAL_EVENT_LB_EVALUATION_TO,5250,UE,Timeout on the lbUeEvaluationTimer to select Ue candidates for throughput based load balancing measurements.,"1,2",,INTERNAL,,N,
INTERNAL_EVENT_LB_INTER_FREQ,5215,Cell,When performing load balancing or offloading to target cells an amount of traffic load is determined for each target cell (lbAmount). lbAmount corresponds to an amount of subscription quanta that will be attempted to be moved to the target cell. The event is sent for each target cell.,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_LB_SUB_RATIO,5220,Cell,The average subscription ratio for a cell during a load reporting period (default 15sec).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_LICENSE_UNAVAILABLE,5166,RBS,When a license is unavailable. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_LOAD_CONTROL_STATE_TRANSITION,5233,RBS,The event is generated when the MP Load Control State is changed due to any measurement.,,,INTERNAL,,N,
INTERNAL_EVENT_LOOPING_ENDC_FREQ_BLOCKLISTED,5333,UE,"Triggered when the number of EN-DC release with short SCG session is over consecutive failure counter, so the NR frequency is blocklisted.","0,1,2","X2,UU",INTERNAL,,N,
INTERNAL_EVENT_MAX_FILESIZE_REACHED,5139,RBS,Max size reached for a Cell Trace file or an UE trace file. The event is written to the actual file and the file is closed. A new file will be opened when the next Recording Output Period (ROP) starts. This event is always active thus never requires to be activated in a profile or scanner to be generated. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,Y,
INTERNAL_EVENT_MAX_FILESIZE_RECOVERY,5140,RBS,Captured at start of a new ROP (Recording Output Period) when the file for the previous ROP has been closed due to that the maximum file size for a Cell Trace or a UE Trace file had been reached. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,Y,
INTERNAL_EVENT_MAX_STORAGESIZE_REACHED,5138,RBS,"The event is generated when max storage size for Cell Trace, UE Trace or total event storage size for storing event files is reached and file(s) younger than 2hrs has been removed. The oldest event files on the storage are targeted for removal first. This event is always active thus never requires to be activated in a profile or scanner to be generated. This event is applicable in DU RadioNode and extension baseband unit in multiple Baseband RadioNode.",,,INTERNAL,ALWAYS_ACTIVE,Y,24.Q2
INTERNAL_EVENT_MAX_UETRACES_REACHED,5128,RBS,The maximum number of UE Traces per eNodeB are activated and an additional UE under UE Trace is configured or moves into the same eNodeB. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,Y,
INTERNAL_EVENT_MBMS_CELL_SELECTION,5274,UE,This event is generated when an MBMB Interest Indication is received and the eNB and an eMBMS cell configuration for that UE has been selected.,"2,5",UU,INTERNAL,,N,
INTERNAL_EVENT_MBMS_INTEREST_INDICATION,5237,UE,MBMS INTEREST INDICATION received that indicates interest in other frequency than the current cell's frequency. See 3GPP 36.331,"2,5",UU,INTERNAL,,N,
INTERNAL_EVENT_MEASUREMENT_REPORT_RECEIVED,5262,UE,When the measurement report is received in measurement context,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_A1,5174,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A1 - Serving becomes better than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_A2,5175,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A2 - Serving becomes worse than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_A3,5176,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A3 - Neighbour becomes amount of offset better than serving (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_A4,5177,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A4 - Neighbour becomes better than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_A5,5178,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A5 - Serving becomes worse than absolute threshold1 AND Neighbour becomes better than another absolute threshold2 (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_A6,5239,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Event A6 - Neighbor becomes offset better than SCell (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B1_CDMA2000,5235,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on CDMA2000 with Report Configuration of type Event B1 - Inter RAT neighbour becomes better than threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_B1_ENDC_SETUP,5292,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on ENDC with Report Configuration of type B1 (see 3GPP TS 36.331  V15).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B1_GERAN,5273,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on GERAN with Report Configuration of type Event B1 - Neighbor cell becomes better than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B1_GUTRA,5283,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on GUTRA with Report Configuration of type B1 (see EIPS for 3GPP TS 36.331  V3.0.0).,"1,2",UU,INTERNAL,,N,19.Q3
INTERNAL_EVENT_MEAS_CONFIG_B1_NR,5289,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on NR with Report Configuration of type Event B1(see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B1_UTRA,5234,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on UTRA with Report Configuration of type Event B1 - Inter RAT neighbour becomes better than absolute threshold (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B2_CDMA2000,5182,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on CDMA2000 with Report Configuration of type Event B2 - Serving becomes worse than absolute threshold1 AND Neighbour becomes better than another absolute threshold2 (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_B2_GERAN,5180,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on GERAN with Report Configuration of type Event B2 - Serving becomes worse than absolute threshold1 AND Neighbour becomes better than another absolute threshold2 (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B2_NR,5337,UE,When a UE is configured using RRC Connection Reconfiguration to report measurements on NR with Report Configuration of type Event B2 - Serving becomes worse than absolute threshold1 AND Neighbour becomes better than another absolute threshold2 (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_B2_UTRA,5181,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on UTRA with Report Configuration of type Event B2 - Serving becomes worse than absolute threshold1 AND Neighbour becomes better than another absolute threshold2 (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_PERIODICAL_EUTRA,5179,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on EUTRA with Report Configuration of type Periodical (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_MEAS_CONFIG_PERIODICAL_GERAN,5183,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on GERAN with Report Configuration of type Periodical (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_PERIODICAL_NR,5301,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on NR with Report Configuration of type Periodical (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEAS_CONFIG_PERIODICAL_UTRA,5184,UE,When a UE is to be configured using RRC Connection Reconfiguration to report measurements on UTRA with Report Configuration of type Periodical (see 3GPP TS 36.331).,"1,2",UU,INTERNAL,,N,
INTERNAL_EVENT_MEMORY_MECHANISM_STATE_TRANSITION,5290,RBS,The event is generated when the Memory state is changed due to any measurement.,,,INTERNAL,,N,
INTERNAL_EVENT_MIMO_SLEEP_DETECTED,5244,Cell,The event is generated when the MIMO Sleep Mode function detects an opportunity to enter or exit MIMO sleep state.,,,INTERNAL,,N,
INTERNAL_EVENT_NEIGHBCELL_ADDITIONAL_CGI,5194,RBS,When a CGI measurement is received containing Location Area Code (LAC) and/or Routing Area Code (RAC). 3GPP TS 36.331 describes how it is possible to get the RAC and LAC from the measurement result after requesting a CGI measurement.,2,UU,INTERNAL,,N,
INTERNAL_EVENT_NEIGHBCELL_CHANGE,5144,RBS,"When a neighbor cell is automatically added, removed or updated.",2,UU,INTERNAL,,N,
INTERNAL_EVENT_NEIGHBENB_CHANGE,5145,RBS,"When a neighbor eNodeB is automatically added, removed or updated.",2,UU,INTERNAL,,N,
INTERNAL_EVENT_NEIGHBGNB_CHANGE,5300,RBS,"When a neighbor gNodeB is automatically added, removed or updated.",2,UU,INTERNAL,,N,
INTERNAL_EVENT_NEIGHBREL_ADD,5146,Cell,When the neighbor cell is automatically added.,2,UU,INTERNAL,,Y,
INTERNAL_EVENT_NEIGHBREL_REMOVE,5147,Cell,When the neighbor cell relation is automatically removed,,,INTERNAL,,Y,
INTERNAL_EVENT_NEIGHBREL_SELECT_PCI_CONFLICT,5342,Cell,Triggered when neighbor cell relation is selected or deselected as preferred for handover in PCI conflict cases.,2,UU,INTERNAL,,N,
INTERNAL_EVENT_NO_RESET_ACK_FROM_MME,5123,RBS,"RESET ACKNOWLEDGE has not been received from the remote node (MME), despite re-transmissions of RESET.","2,5",S1,INTERNAL,,N,
INTERNAL_EVENT_NO_SCELL_ON_NODE,5314,RBS,Triggered by Automatic Scell Management when last SCell on external node changed its asmStatus from ALLOWED to any other state.,,,INTERNAL,,N,
INTERNAL_EVENT_NR_FREQUENCY_EXCLUDED,5332,Cell,Sent when NR frequency is excluded from mobility back to NR.,,,INTERNAL,,N,
INTERNAL_EVENT_NR_PCI_CONFLICT_DETECTED,5335,Cell,When a source cell has relations to two NR cells where both NR cells have the same PCI and frequency.,2,UU,INTERNAL,,Y,
INTERNAL_EVENT_NR_PCI_CONFLICT_RESOLVED,5334,Cell,When a PCI conflict is resolved.,2,UU,INTERNAL,,Y,
INTERNAL_EVENT_NR_PCI_CONFLICT_SUSPECTED,5336,Cell,When a source cell finds a NR PCI conflict suspect cell when receiving RRC SCGFailureInformationNR from UE.,2,UU,INTERNAL,,Y,
INTERNAL_EVENT_OBSERVABILITY_STATE_CHANGE_IND,5309,RBS,Event is generated when at least one eventAgent enters into reduced observability mode or when last eventAgent leaves reduced observability mode.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_ONGOING_UE_MEAS,5192,UE,When the number of ongoing UE measurements (with or without measurement gap) has changed.,"1,2",UU,INTERNAL,,Y,
INTERNAL_EVENT_PARTITION_CONFIG_MISSING,5275,Cell,This event is generated when feature Resource Partitioning (RP) detects a misconfiguration. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_PCI_CONFLICT_DETECTED,5217,Cell,When a source cell has relations to two neighbor cells where both neighbor cells have the same PCI and frequency.,2,UU,INTERNAL,,Y,
INTERNAL_EVENT_PCI_CONFLICT_RESOLVED,5218,Cell,When a PCI conflict is resolved.,2,UU,INTERNAL,,Y,
INTERNAL_EVENT_PIM_MEASUREMENTS_REPORT,5316,Cell,Triggered after each PIM measurement cycle if the PIM issue is identified for given uplink cell.,,,INTERNAL,,N,
INTERNAL_EVENT_PM_DATA_COLLECTION_LOST,5143,RBS,Generated and stored in the actual ROP (Recording Output Period) file when data for Layer 1 and Layer 2 continuous measurements was lost for a measurement period. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,Y,
INTERNAL_EVENT_PM_EVENT_SUSPECTMARKED,5133,RBS,When the 30 second timer for the collection of events at ROP end for all PmAgents expires or when the 2 second timer for fetch event data for each PmAgent expires. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_PM_RECORDING_FAULT_JVM,5127,RBS,The PmController has lost contact with the PmApplication due to PmApplication restart. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,"CCTR, ALWAYS_ACTIVE",N,
INTERNAL_EVENT_PTM_CELL_RESERVED,5286,Cell,Send at the end of Load Balancing Cycle to indicate the amount of time cell is reserved by PTM,5,,INTERNAL,,N,
INTERNAL_EVENT_PTM_CELL_RESERVED_START,5328,Cell,PTM Dynamic PLMN Reservation that is the functionality for restricting non-prioritized UEs to accessing the cell started. It can be caused by Load above threshold or Prioritized PLMN S1 connection recovery.,,,INTERNAL,,N,
INTERNAL_EVENT_PTM_CELL_RESERVED_STOP,5329,Cell,PTM Dynamic PLMN Reservation that is the functionality for restricting non-prioritized UEs to accessing the cell stopped. It can be caused by Load below threshold or Prioritized PLMN S1 connection failure.,,,INTERNAL,,N,
INTERNAL_EVENT_PTM_CELL_RESERVED_SUSP_START,5330,Cell,Started PTM Dynamic PLMN Reservation that is the functionality for restricting non-prioritized UEs to accessing the cell is suspended due to PRIORITY PLMN CORE NETWORK UNAVAILABLITY. It can be caused by Load above threshold or Prioritized PLMN S1 connection failure.,,,INTERNAL,,N,
INTERNAL_EVENT_PTM_CELL_RESERVED_SUSP_STOP,5331,Cell,Suspension of started PTM Dynamic PLMN Reservation that is the functionality for restricting non-prioritized UEs to accessing the cell due to PRIORITY PLMN CORE NETWORK UNAVAILABLITY is stopped. It can be caused by Load below threshold or Prioritized PLMNs S1 connection recovery.,,,INTERNAL,,N,
INTERNAL_EVENT_PTM_CELL_TRAFFIC_LOAD_STATE,5285,Cell,Send at the end of Load Balancing Cycle to indicate current Traffic Load State,5,,INTERNAL,,N,
INTERNAL_EVENT_PTM_OFFLOAD_MEASURED_UE,5288,UE,Send every time UE is chosen for offload measurements by PTM Offload Candidate Selection,5,,INTERNAL,,N,
INTERNAL_EVENT_PTM_UE_HO_BLOCKED,5287,UE,Send every time handover is blocked due to PTM cell reservation,5,,INTERNAL,,N,
INTERNAL_EVENT_PWS_RESTART_INDICATION,5306,Cell,"A Public Warning System (PWS) Restart Indication  message has been sent, see 3GPP 36.413","1,2",S1,INTERNAL,,N,
INTERNAL_EVENT_RECOMMENDED_NR_SI_UPDATES_REACHED,5170,Cell,The event is triggered at update of valueTag in SIB1 if it has been updated 31 times or more during the past 3 hrs period. This event is always active thus never requires to be activated in a profile or scanner to be generated.,,,INTERNAL,ALWAYS_ACTIVE,N,
INTERNAL_EVENT_RESUME_LOW_ARP_DRB_DL_RLC_FAIL,5264,UE,Triggered when an RRC Connection Re-establishment or Handover is executed and a low ARP prioritized DRB is resumed that was marked as failed in a connection which consists of other high ARP prioritized DRBs.,"1,2",UU,INTERNAL,,N,
