Event Parameter Name,ARRAY Sub-parameter Name,Parameter Description,Parameter Size,Parameter Type,Logical value,Literal value,Parameter Resolution,Parameter Unit,Deprecated Since
EVENT_ARRAY_ERAB_RELEASE_REQ_3GPP_CAUSE_GROUP,EVENT_PARAM_3GPP_CAUSE_GROUP,"Array with 3GPP S1 Cause Group values for each ERAB in a release, element position indicates E-RAB Id and element value indicates which Cause Group value was applicable for that E-RAB.   Needs to be used jointly with EVENT_ARRAY_ERAB_RELEASE_REQ_3GPP_CAUSE",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RELEASE_REQ_QCI,EVENT_PARAM_ERAB_QCI,"Array with QCI values for each ERAB in a release, element position indicates E-RAB Id and element value indicates which QCI value that E-RAB was configured with.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RELEASE_SUCC,EVENT_PARAM_ERAB_RELEASE_SUCC_IND,"Array where element position indicates UE ERAB Ids that was released. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RELEASE_SUCC_GBR,EVENT_PARAM_ERAB_RELEASE_SUCC_IND_GBR,"Array where element position indicates UE GBR E-RAB Ids that was released. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_REMAP_TO_QCI0_CAUSE,EVENT_PARAM_ERAB_REMAP_TO_QCI0_CAUSE,"Array with cause of ""remap to QCI0"" values for each bearer that is set up (during a bearer set up, initial context set up or handover procedure) or modified and for which the requested QCI profile could not be allocated and the default (QCI=0) QCI profile was mapped.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RLC_UM_SOURCE_PDCP_SN_LENGTH,EVENT_PARAM_ERAB_PDCP_SN_LENGTH,"Array, where element position indicates UE E-RAB Id and element value indicates the PDCP SN length.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RLC_UM_SOURCE_RLC_SN_LENGTH,EVENT_PARAM_ERAB_RLC_SN_LENGTH,"Array, where element position indicates UE E-RAB Id and element value indicates the RLC SN length.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RLC_UM_TARGET_PDCP_SN_LENGTH,EVENT_PARAM_ERAB_PDCP_SN_LENGTH,"Array, where element position indicates UE E-RAB Id and element value indicates the PDCP SN length.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RLC_UM_TARGET_RLC_SN_LENGTH,EVENT_PARAM_ERAB_RLC_SN_LENGTH,"Array, where element position indicates UE E-RAB Id and element value indicates the RLC SN length.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SERVICE_TYPE,EVENT_PARAM_ERAB_SERVICE_TYPE,service type in each ERAB,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_ATTEMPT_GBR,EVENT_PARAM_ERAB_SETUP_ATTEMPT_GBR,Setup attempt status for each GBR ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_ATT_ACC_TYPE,EVENT_PARAM_ACC_TYPE,"Array indicating the access type for each requested ERAB. Position 0 indicates access type for ERAB Id 0 etc.  Other ERAB Id are marked ""unavailable""",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_FAILURE_3GPP_CAUSE,EVENT_PARAM_3GPP_CAUSE,"Array with 3GPP S1 Cause values for each ERAB in a failed setup, element position indicates E-RAB Id and element value indicates which failure Cause value was applicable for that E-RAB.       Needs to be used jointly with EVENT_ARRAY_ERAB_SETUP_FAILURE_3GPP_CAUSE_GROUP",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_FAILURE_3GPP_CAUSE_GROUP,EVENT_PARAM_3GPP_CAUSE_GROUP,"Array with 3GPP S1 Cause Group values for each ERAB in a failed setup, element position indicates E-RAB Id and element value indicates which failure Cause Group value was applicable for that E-RAB.   Needs to be used jointly with EVENT_ARRAY_ERAB_SETUP_FAILURE_3GPP_CAUSE",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_REQ_ARP,EVENT_PARAM_ERAB_ARP,ARP Priority Level for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_REQ_PCI,EVENT_PARAM_ERAB_PCI,ARP PCI  for each E-RAB in the request.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_REQ_PVI,EVENT_PARAM_ERAB_PVI,ARP PVI  for each E-RAB in the request.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_REQ_QCI,EVENT_PARAM_ERAB_QCI,Requested QCI for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_RESULT,EVENT_PARAM_ERAB_SETUP_RESULT,Setup result for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_RESULT_GBR,EVENT_PARAM_ERAB_SETUP_RESULT_GBR,Setup result for each GBR ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_RESULT_SUCC_REQ_GBR,EVENT_PARAM_ERAB_SUCC_REQ_GBR,GBR or non-GBR status  for each successful ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_RES_FAIL_RESULT,EVENT_PARAM_ERAB_SETUP_RES_FAIL_RESULT,Indicates if setup result for each ERAB is related to resource fail,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_RES_FAIL_RESULT_GBR,EVENT_PARAM_ERAB_SETUP_RES_FAIL_RESULT,Indicates if setup result for each GBR ERAB is related to resource fail,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_SETUP_SUCC_ACC_TYPE,EVENT_PARAM_ACC_TYPE,"Array indicating successful setup for the  access type for each set up ERAB. Position 0 indicates access type for ERAB Id 0 etc.  For unsuccessful setups, the ACC_TYPE must be set to ""unavailable""",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_TO_BE_ADDED_BEARER_ID,EVENT_PARAM_BEARER_ID,Array with RB ID values for each data radio bearer,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_TO_BE_MODIFIED_BEARER_ID,EVENT_PARAM_BEARER_ID,Array with RB ID values for each data radio bearer that is meant to be modified.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_TO_BE_RELEASED_BEARER_ID,EVENT_PARAM_BEARER_ID,Array with RB ID values for each data radio bearer,16,ARRAY,,,,,
EVENT_ARRAY_ESTIMATE_FAIL_CAUSE,EVENT_PARAM_ESTIMATE_FAIL_CAUSE,"Array, where an element Indicates the reason why estimating average throughput for the corresponding cell ID has failed.",16,ARRAY,,,,,
EVENT_ARRAY_GERAN_FOLLOWING_ARFCN,EVENT_PARAM_FREQ,"Indicates the Following ARFCNs for a carrier frequency of e-UTRAN, UTRAN or GERAN as defined in 3GPP TS 36.331.",16,ARRAY,,,,,
EVENT_ARRAY_GLOBAL_CELL_ID_ESTIMATE_FAIL,EVENT_PARAM_GLOBAL_CELL_ID,"Array, where an element indicates a ECGI - for a cell covering the WiFi cell where a UE has requested access - for which throughput was not estimated.",16,ARRAY,,,,,
EVENT_ARRAY_GLOBAL_CELL_ID_ESTIMATE_SUCC,EVENT_PARAM_GLOBAL_CELL_ID,"Array, where an element indicates a ECGI - for a cell covering the WiFi cell where a UE has requested access - for which throughput was estimated successfully.",16,ARRAY,,,,,
EVENT_ARRAY_HO_IN_PREP_ERAB_REQ,EVENT_PARAM_ERAB_ID_SETUP_REQ,"Array, where element position indicates UE E-RAB Id and element value indicates whether the E-RAB Id was included in the request.",16,ARRAY,,,,,
EVENT_ARRAY_HO_IN_PREP_ERAB_RESULT,EVENT_PARAM_PROC_HO_PREP_IN_RESULT,"Array, where element position indicates UE E-RAB Id and element value indicates the result.",16,ARRAY,,,,,
EVENT_ARRAY_HO_OUT_EXEC_ERAB_FAIL_AND_DATA_LOST,EVENT_PARAM_HO_OUT_EXEC_ERAB_FAIL_AND_DATA_LOST_IND,"Array where element position indicates UE ERABs that wasn't successfully prepared in target cell. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_HO_OUT_PREP_ERAB_FAIL,EVENT_PARAM_HO_OUT_PREP_ERAB_FAIL_IND,"Array where element position indicates UE ERABs that wasn't successfully prepared in target cell. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_HO_OUT_PREP_ERAB_FAIL_AND_DATA_LOST,EVENT_PARAM_HO_OUT_PREP_ERAB_FAIL_AND_DATA_LOST_IND,"Array where element position indicates UE ERABs that wasn't successfully prepared in target cell. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_HO_OUT_PREP_ERAB_FAIL_AND_DATA_LOST_GBR,EVENT_PARAM_HO_OUT_PREP_ERAB_FAIL_AND_DATA_LOST_IND_GBR,"Array where element position indicates UE GBR ERABs that wasn't successfully prepared in target cell during handover. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_HO_OUT_PREP_ERAB_FAIL_GBR,EVENT_PARAM_HO_OUT_PREP_ERAB_FAIL_IND_GBR,"Array where element position indicates UE GBR ERABs that wasn't successfully prepared in target cell during handover. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_HO_PREP_QCI,EVENT_PARAM_ERAB_QCI,Requested QCI for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_INTERMODULATION_LEVEL,EVENT_PARAM_INTERMODULATION_LEVEL,Intermodulation order decided at V/A group selection,21,ARRAY,,,,,
EVENT_ARRAY_MDT_M1_SCELL_FREQUENCY,EVENT_PARAM_MDT_M1_SCELL_FREQUENCY,"Array, where carrier frequencies are stored for the SCells.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M1_SCELL_PHYSICALID,EVENT_PARAM_MDT_M1_SCELL_PHYSICALID,"Array, where physical cell identities are stored for the SCells.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M1_SCELL_RSRP,EVENT_PARAM_MDT_M1_SCELL_RSRP,"Array, where measured RSRP values are stored for the SCells. See 3GPP TS 36.331.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M1_SCELL_RSRQ,EVENT_PARAM_MDT_M1_SCELL_RSRQ,"Array, where measured RSRQ values are stored for the SCells. See 3GPP TS 36.331.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M4_ERAB_PDCP_VOL_DL,EVENT_PARAM_MDT_M4_ERAB_PDCP_VOL_DL,Array where downlink DRB volumes for PDCP SDUs are stored for each ERAB. See 3GPP TS 32.423.,16,ARRAY,,,,,
EVENT_ARRAY_MDT_M4_ERAB_PDCP_VOL_UL,EVENT_PARAM_MDT_M4_ERAB_PDCP_VOL_UL,Array where uplink DRB volumes for PDCP SDUs are stored for each ERAB. See 3GPP TS 32.423.,16,ARRAY,,,,,
EVENT_ARRAY_MDT_M4_M5_ERAB_QCI,EVENT_PARAM_ERAB_QCI,"Array, where QCI values are stored. Array of QCIs of the E-RABs for which the volume and throughput measurements apply. See 3GPP TS 32.423. If there are no QCIs corresponding to specific E-RABs, this is set to unavailable.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M5_ERAB_THP_TIME_DL,EVENT_PARAM_MDT_M5_ERAB_THP_TIME_DL,"Array, where throughput times used for calculation of DL throughput are stored for each DRB. See 3GPP TS 32.423.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M5_ERAB_THP_VOL_DL,EVENT_PARAM_MDT_M5_ERAB_THP_VOL_DL,Array where throughput volumes used for calculation of downlink throughput are stored for each ERAB. See 3GPP TS 32.423.,16,ARRAY,,,,,
EVENT_ARRAY_MDT_M6_ERAB_DELAY_SAMPL_DL,EVENT_PARAM_MDT_M6_ERAB_DELAY_SAMPL_DL,"Array, where Num of PDCP SDU are stored for each ERAB. See 3GPP TS 36.314.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M6_ERAB_DELAY_TIME_DL,EVENT_PARAM_MDT_M6_ERAB_DELAY_TIME_DL,"Array, where DL Packet Delay Times  are stored for each ERAB. See 3GPP TS 36.314.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M6_ERAB_EXC_DELAY_UL,EVENT_PARAM_MDT_M6_ERAB_EXC_DELAY_UL,"Array, where measured Excess Delay Ratio are stored for the ERAB. See 3GPP TS 36.331.",6,ARRAY,,,,,
EVENT_ARRAY_MDT_M6_ERAB_LAT_SAMPL_DL,EVENT_PARAM_MDT_M6_ERAB_LAT_SAMPL_DL,"Array, where Num of PDCP SDU are stored for each ERAB. See 3GPP TS 36.314.",16,ARRAY,,,,,20.Q2
EVENT_ARRAY_MDT_M6_ERAB_LAT_TIME_DL,EVENT_PARAM_MDT_M6_ERAB_LAT_TIME_DL,"Array, where DL Packet Delay Times  are stored for each ERAB. See 3GPP TS 36.314.",16,ARRAY,,,,,20.Q2
EVENT_ARRAY_MDT_M6_ERAB_QCI_DL,EVENT_PARAM_ERAB_QCI,"Array, where QCI values are stored. Array of QCIs of the E-RABs for which the volume and throughput measurements apply. See 3GPP TS 36.314. If there are no QCIs corresponding to specific E-RABs, this is set to unavailable.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M6_ERAB_QCI_UL,EVENT_PARAM_MDT_M6_ERAB_QCI_UL,"Array, where measured QCI are stored for the ERAB. See 3GPP TS 36.331.",6,ARRAY,,,,,
EVENT_ARRAY_MDT_M7_ERAB_PACKET_LOST_PELR_UU_DL,EVENT_PARAM_MDT_M7_ERAB_PACKET_LOST_PELR_UU_DL,"Array, where num of DL Packet Loss numbers are stored for each ERAB. See 3GPP TS 36.314.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M7_ERAB_PACKET_LOST_UL,EVENT_PARAM_MDT_M7_ERAB_PACKET_LOST_UL,Array where number of uplink packet losses are stored for each ERAB. See 3GPP TS 36.314.,16,ARRAY,,,,,
EVENT_ARRAY_MDT_M7_ERAB_PACKET_REC_UL,EVENT_PARAM_MDT_M7_ERAB_PACKET_REC_UL,"Array, where num of PDCP sequence numbers are stored for each ERAB. See 3GPP TS 36.314.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M7_ERAB_PACKET_TR_DL,EVENT_PARAM_MDT_M7_ERAB_PACKET_TR_DL,"Array, where num of DL ACK packets numbers are stored for each ERAB. See 3GPP TS 36.314.",16,ARRAY,,,,,
EVENT_ARRAY_MDT_M7_ERAB_QCI,EVENT_PARAM_ERAB_QCI,"Array, where QCI values are stored. Array of QCIs of the E-RABs for which the volume and throughput measurements apply. See 3GPP TS 36.314. If there are no QCIs corresponding to specific E-RABs, this is set to unavailable.",16,ARRAY,,,,,
EVENT_ARRAY_NEIGHBOR_CGI,EVENT_PARAM_NEIGHBOR_CGI,Array with global Cell IDs of the neighbor cells.,10,ARRAY,,,,,
EVENT_ARRAY_NEIGHBOR_PCI2,EVENT_PARAM_NEIGHBOR_PCI,Array with physical Cell IDs of the neighbor cells.,10,ARRAY,,,,,
EVENT_ARRAY_NO_OF_QUAL_MEAS_REPORTS,EVENT_PARAM_NO_OF_QUAL_MEAS_REPORTS,Array where elements indicate number of qualified Report Strongest Cell measurement reports for Automatic Scell Management feature since the last update cycle for each of cell relations.,10,ARRAY,,,,,
EVENT_ARRAY_PARTIAL_NODE_RESTART_ERAB_DATA_LOST,EVENT_PARAM_PARTIAL_NODE_RESTART_ERAB_DATA_LOST_IND,"Array indicating UE ERAB Ids that were considered active when release was caused by a partial node restart (e.g. DSP restart). Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc. The reason for not using EVENT_ARRAY_ERAB_DATA_LOST is due to that the actual status of the buffer is indeterminate at time of the restart therefore the bearer is instead considered active based on the latest RBS internal activity information (typically 1 second resolution), meaning that a bearer counted as “active” could have been inactive for up to 1 second.",16,ARRAY,,,,,
EVENT_ARRAY_PIM_AGGRESSOR_1,EVENT_PARAM_GLOBAL_CELL_ID,"List of singular and pair PIM-aggressors, that is downlink cells whose intermodulated transmissions result in uplink interference for this uplink cell.
In case of dual aggressors, both EVENT_ARRAY_PIM_AGGRESSOR_1 and EVENT_ARRAY_PIM_AGGRESSOR_2 contain valid and unique aggressor IDs.",21,ARRAY,,,,,24.Q2
EVENT_ARRAY_PIM_AGGRESSOR_1_CELL_ID,EVENT_PARAM_PIM_AGGRESSOR_CELL_ID,List of single or pair PIM aggressor cells,21,ARRAY,,,,,
EVENT_ARRAY_PIM_AGGRESSOR_1_NODE_ID,EVENT_PARAM_PIM_AGGRESSOR_NODE_ID,Aggressor node ID corresponding to EVENT_ARRAY_PIM_AGGRESSOR_1_CELL_ID,21,ARRAY,,,,,
EVENT_ARRAY_PIM_AGGRESSOR_1_PLMN_ID,EVENT_PARAM_PIM_AGGRESSOR_PLMN_ID,Array indicating PLMN ID corresponding to EVENT_ARRAY_PIM_AGGRESSOR_1,21,ARRAY,,,,,
EVENT_ARRAY_PIM_AGGRESSOR_1_TYPE,EVENT_PARAM_PIM_AGGRESSOR_TYPE,"Array, depicting PIM aggressor cell type corresponding to EVENT_ARRAY_PIM_AGGRESSOR_1.",21,ARRAY,,,,,
EVENT_ARRAY_PIM_AGGRESSOR_2,EVENT_PARAM_GLOBAL_CELL_ID,"List of pair PIM-aggressors, that is downlink cells whose intermodulated transmissions result in uplink interference for this uplink cell.
With a single aggressor the EVENT_ARRAY_PIM_AGGRESSOR event parameter contains valid and unique aggressor IDs, while the EVENT_ARRAY_PIM_AGGRESSOR event parameter has an invalid value.",21,ARRAY,,,,,24.Q2
EVENT_ARRAY_PIM_AGGRESSOR_2_CELL_ID,EVENT_PARAM_PIM_AGGRESSOR_CELL_ID,List of single or pair PIM aggressor cells,21,ARRAY,,,,,
EVENT_ARRAY_PIM_AGGRESSOR_2_NODE_ID,EVENT_PARAM_PIM_AGGRESSOR_NODE_ID,Aggressor node ID corresponding to EVENT_ARRAY_PIM_AGGRESSOR_2_CELL_ID,21,ARRAY,,,,,
EVENT_ARRAY_PIM_AGGRESSOR_2_PLMN_ID,EVENT_PARAM_PIM_AGGRESSOR_PLMN_ID,Array indicating PLMN ID corresponding to EVENT_ARRAY_PIM_AGGRESSOR_2,21,ARRAY,,,,,
EVENT_ARRAY_PIM_AGGRESSOR_2_TYPE,EVENT_PARAM_PIM_AGGRESSOR_TYPE,"Array, depicting PIM aggressor cell type corresponding to EVENT_ARRAY_PIM_AGGRESSOR_2.",21,ARRAY,,,,,
EVENT_ARRAY_PIM_DETECTION_RELIABILITY,EVENT_PARAM_PIM_DETECTION_RELIABILITY,"Array, depicting system's confidence in PIM classification and identification of aggressor-victim relation.",21,ARRAY,,,,,
EVENT_ARRAY_PIM_INTERFERENCE_PWR,EVENT_PARAM_PIM_INTERFERENCE_PWR,"Array, depicting the estimated PIM-originated interference value for EVENT_ARRAY_PIM_AGGRESSOR_1 and EVENT_ARRAY_PIM_AGGRESSOR_2 relation of the same index.",21,ARRAY,,,,,
EVENT_ARRAY_PIM_TYPE,EVENT_PARAM_PIM_TYPE,"Array, depicting the identified PIM relation type for the EVENT_ARRAY_PIM_AGGRESSOR_1 and PIM_ARRAY_PIM_AGGRESSOR_2 of the same index.",21,ARRAY,,,,,
EVENT_ARRAY_RECONF_MEAS_QCI,EVENT_PARAM_ERAB_QCI,Indicates the QCIs of set up/released/modified bearers that lead to a measurement reconfiguration within the corresponding procedure.,16,ARRAY,,,,,
EVENT_ARRAY_SCELL_CA_CONFIGURATION_AVAIL,EVENT_PARAM_SCELL_CA_CONFIGURATION_AVAIL,Array where elements indicate sCellCaConfigurationAvail attribute value for each of cell relations.,10,ARRAY,,,,,
EVENT_ARRAY_SC_MIMO_SLEEP_MAX_PWR_CTRL_RESULT,EVENT_PARAM_MIMO_SLEEP_MAX_PWR_CTRL_RESULT,Array where element position indicates SectorCarrier Index. Indexed by 0..11.,12,ARRAY,,,,,
EVENT_ARRAY_TA,EVENT_PARAM_TA,"Array, where the Timing Advance value are stored.",60,ARRAY,,,,,
EVENT_ARRAY_THROUGHPUT_ESTIMATE,EVENT_PARAM_THROUGHPUT_ESTIMATE,"Array, where an element indicates the cell average throughput estimate for a cell covering the WiFi cell where a UE has requested access.",16,ARRAY,,,,,
EVENT_PARAM_3GPP_CAUSE,,"This parameter holds any possible Cause value described in the S1AP 3GPP specification, Section 9.2.1.3 in TS 36.413 or in the X2AP 3GPP specification, Section 9.2.6 in TS 36.423.  Needs to be used jointly with EVENT_PARAM_3GPP_CAUSE_GROUP",1,UINT,,,1.0,,
EVENT_PARAM_3GPP_CAUSE_GROUP,,"This parameter holds all Cause-Group values that are described in the S1AP 3GPP specification, Section 9.2.1.3 in TS 36.413 or in the X2AP 3GPP specification, Section 9.2.6 in TS 36.423.     Needs to be used jointly with EVENT_PARAM_3GPP_CAUSE",1,ENUM,,,,,
EVENT_PARAM_3GPP_CAUSE_GROUP,,"This parameter holds all Cause-Group values that are described in the S1AP 3GPP specification, Section 9.2.1.3 in TS 36.413 or in the X2AP 3GPP specification, Section 9.2.6 in TS 36.423.     Needs to be used jointly with EVENT_PARAM_3GPP_CAUSE",1,ENUM,EVENT_VALUE_RADIO_NETWORK_LAYER_GROUP,0.0,,,
