PmEvent Name,Event Id,Event Type,Event Description and Trigger,STANDARDIZED or PROPRIETARY,Event Groups,Message Trace Depth (UE Trace),Interface Classification (UE Trace),DeprecatedSince,ReasonForDeprecation,Periodicity (seconds),SupportedBands,SupportedDeployments,License,LimitationReason,EventStatus
CuCpDataAwareMobilityBufMonConfig,3343,UE,"Generated when downlink buffer monitoring is configured for a UE.
Contains information about configuration of downlink buffer monitoring for NR Data-Aware Mobility feature.
",PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012736, LicenseMoId: NrDataAwareMobility, LicenseName: NR Data-Aware Mobility",,USED
CuCpDataAwareMobilityBufMonReport,3344,UE,"Generated when downlink buffer monitoring is reported for a UE.
Contains information about downlink buffer monitoring for NR Data-Aware Mobility feature.
",PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012736, LicenseMoId: NrDataAwareMobility, LicenseName: NR Data-Aware Mobility",,USED
CuCpDataAwareMobilityThpMonConfig,3345,UE,"Generated when throughput monitoring is configured for a UE.
Contains information about configuration of throughput monitoring for NR Data-Aware Mobility feature.
",PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012736, LicenseMoId: NrDataAwareMobility, LicenseName: NR Data-Aware Mobility",,USED
CuCpDataAwareMobilityThpMonReport,3346,UE,"Generated when throughput monitoring is reported for a UE.
Contains information about low throughput monitoring for NR Data-Aware Mobility feature.
",PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012736, LicenseMoId: NrDataAwareMobility, LicenseName: NR Data-Aware Mobility",,USED
CuCpDrbSuspend,3224,UE,DRB is suspended at state change from RRCRelease to RRCInactive.,PROPRIETARY,CCTR,"0,1,2",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA","LicenseKeyId: CXC4012550, LicenseMoId: RrcInactiveState, LicenseName: RRC Inactive State",,USED
CuCpE1Reset,3272,CUCP,E1AP RESET message. See 3GPP TS 38.463.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpE1ResetAcknowledge,3273,CUCP,E1AP RESET ACKNOWLEDGE message. See 3GPP TS 38.463.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpEcgiMeasurement,3232,UE,Event for IRAT-mobility-triggered ANR for NR SA.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpEcidMeasurementInitiationRequest,3317,UE,E-CID MEASUREMENT INITIATION REQUEST received.,PROPRIETARY,,"0,1,2",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpEcidMeasurementInitiationResponse,3318,UE,E-CID MEASUREMENT INITIATION RESPONSE sent.,PROPRIETARY,,"0,1,2",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpEndcInitAccessFail,3115,UE,"Event for failure in initial stages of Secondary Node Addition procedure. Failure can have the following causes:
- Reject because of load control.
- Other reasons, such as failure of selecting suitable UeHandler.
",PROPRIETARY,CCTR,"1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpEndcMobilityEvaluation,3063,UE,Whether best neighbor physical cell ID in measurement report is invalid in source cell.,PROPRIETARY,,"1,2",UU,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpEndcSgnbModificationFail,3212,UE,"Event for failure before SgNB initiated SgNB Modification procedure in EN-DC.
Modification can be triggered by one of following processes:
- Intra-gNodeB intra-DU PSCell change.
- Intra-gNodeB inter-DU PSCell change.
- Other processes.
Failure can have one of following causes:
- Reject because of load control.
- Other reasons.
",PROPRIETARY,,"1,2",X2_XN,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpF1ConnRelease,3204,CUCP,Release of F1-C connection towards DU from Variable Reference Channel (VRC) Node (CUCP).,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpF1DeactivateTrace,3110,UE,DEACTIVATE TRACE sent. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpF1EabMeasurementFailureIndication,3284,UE,EAB MEASUREMENT FAILURE INDICATION message received.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1EabMeasurementInitiationFailure,3281,UE,EAB MEASUREMENT INITIATION FAILURE message received.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1EabMeasurementInitiationRequest,3279,UE,EAB MEASUREMENT INITIATION REQUEST message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1EabMeasurementInitiationResponse,3280,UE,EAB MEASUREMENT INITIATION RESPONSE message received.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1EabMeasurementReport,3285,UE,EAB MEASUREMENT REPORT message received.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1EabMeasurementTerminationRequest,3282,UE,EAB MEASUREMENT TERMINATION REQUEST message sent.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1EabMeasurementTerminationResponse,3283,UE,EAB MEASUREMENT TERMINATION RESPONSE message received.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1EabPimDetectionReport,3330,CUCP,EAB PIM DETECTION REPORT message sent.,PROPRIETARY,EXTERNAL,,,,,,Low-band,"EN-DC, NR SA",,,USED
CuCpF1EabUacBarringInformationControl,3333,CUCP,Monitors UAC Barring Information Control procedure and if EAB UAC BARRING INFORMATION CONTROL message is sent from CU.,PROPRIETARY,EXTERNAL,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpF1EabUacBarringInformationFeedback,3334,CUCP,Monitors UAC Barring Information Feedback procedure and reception of EAB UAC BARRING INFORMATION FEEDBACK message in CU.,PROPRIETARY,EXTERNAL,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpF1EabUeOffloadIndication,3325,UE,EAB UE OFFLOAD INDICATION message received,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,Mid-band,NR SA,"LicenseKeyId: CXC4012635, LicenseMoId: NrRemoteInterferenceManagement, LicenseName: NR Remote Interference Management",,USED
CuCpF1EabUeOffloadRequest,3319,UE,EAB UE OFFLOAD REQUEST message received,PROPRIETARY,EXTERNAL,"0,1,2",F1,23.Q3,Planned to be removed. Replaced by CuCpF1EabUeOffloadIndication.,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012635, LicenseMoId: NrRemoteInterferenceManagement, LicenseName: NR Remote Interference Management",Deprecated and Obsolete,DEPRECATED
CuCpF1EabUeUlQualityMeasurementEvent,3364,UE,EAB UE UL QUALITY MEASUREMENT EVENT message received.,PROPRIETARY,EXTERNAL,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1GnbCuConfigurationUpdate,3129,CUCP,GNB-CU CONFIGURATION UPDATE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA Low-Band/Mid-Band,USED
CuCpF1GnbCuConfigurationUpdateAcknowledge,3130,CUCP,GNB-CU CONFIGURATION UPDATE ACKNOWLEDGE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA Low-Band/Mid-Band,USED
CuCpF1GnbDuConfigurationUpdate,3132,CUCP,GNB-DU CONFIGURATION UPDATE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA Low-Band/Mid-Band,USED
CuCpF1GnbCuConfigurationUpdateFailure,3131,CUCP,GNB-CU CONFIGURATION UPDATE FAILURE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA Low-Band/Mid-Band,USED
CuCpF1GnbDuConfigurationUpdateAcknowledge,3133,CUCP,GNB-DU CONFIGURATION UPDATE ACKNOWLEDGE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA Low-Band/Mid-Band,USED
CuCpF1GnbDuConfigurationUpdateFailure,3134,CUCP,GNB-DU CONFIGURATION UPDATE FAILURE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for all deployments,USED
CuCpF1Paging,3213,CUCP,F1 PAGING sent. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpF1PwsCancelRequest,3288,CUCP,"To observe the PWS F1 procedure, F1AP PWS CANCEL REQUEST in CU.",STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpF1PwsCancelResponse,3289,CUCP,"To observe the PWS F1 procedure, F1AP PWS CANCEL RESPONSE in CU.",STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpF1PwsFailureIndication,3316,CUCP,"To observe the PWS F1 procedure, F1AP PWS FAILURE INDICATION in CU.",STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpF1PwsRestartIndication,3315,CUCP,"To observe the PWS F1 procedure, F1AP PWS RESTART INDICATION in CU.",STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpF1Reset,3135,CUCP,RESET message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not used in current deployments,USED
CuCpF1ResetAcknowledge,3136,CUCP,RESET ACKNOWLEDGE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not used in current deployments,USED
CuCpF1ResourceStatusFailure,3299,CUCP,RESOURCE STATUS FAILURE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1ResourceStatusRequest,3297,CUCP,RESOURCE STATUS REQUEST message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1ResourceStatusResponse,3298,CUCP,RESOURCE STATUS RESPONSE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1ResourceStatusUpdate,3300,CUCP,RESOURCE STATUS UPDATE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpF1SetupFailure,3126,CUCP,SETUP FAILURE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpF1SetupRequest,3127,CUCP,SETUP REQUEST message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpF1SetupResponse,3128,CUCP,SETUP RESPONSE message. See 3GPP TS 38.473.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpF1TraceStart,3109,UE,TRACE START sent. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpF1UeContextModificationConfirm,3156,UE,UE CONTEXT MODIFICATION CONFIRM message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpF1UeContextModificationFailure,3137,UE,UE CONTEXT MODIFICATION FAILURE message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1UeContextModificationRefuse,3157,UE,UE CONTEXT MODIFICATION REFUSE message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpF1UeContextModificationRequest,3138,UE,UE CONTEXT MODIFICATION REQUEST message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1UeContextModificationRequired,3158,UE,UE CONTEXT MODIFICATION REQUIRED message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpF1UeContextModificationResponse,3139,UE,UE CONTEXT MODIFICATION RESPONSE message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1UeContextReleaseCommand,3140,UE,UE CONTEXT RELEASE COMMAND message from gNodeB Central Unit. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1UeContextReleaseComplete,3141,UE,UE CONTEXT RELEASE COMPLETE message from gNodeB Distributed Unit. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1UeContextReleaseRequest,3142,UE,UE CONTEXT RELEASE REQUEST message from gNodeB Distributed Unit. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1UeContextSetupFailure,3123,UE,UE CONTEXT SETUP FAILURE message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1UeContextSetupRequest,3124,UE,UE CONTEXT SETUP REQUEST message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1UeContextSetupResponse,3125,UE,UE CONTEXT SETUP RESPONSE message. See 3GPP TS 38.473.,STANDARDIZED,,"0,2,3,5",F1,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,Not verified for NR SA,USED
CuCpF1WriteReplaceWarningRequest,3290,CUCP,"To observe the PWS F1 procedure, F1AP WRITE-REPLACE WARNING REQUEST in CUCP",STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpF1WriteReplaceWarningResponse,3291,CUCP,"To observe the PWS F1 procedure, F1AP WRITE-REPLACE WARNING RESPONSE in CU.",STANDARDIZED,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpIncomingHandoverFailure,3145,UE,"Event for failure can be in initial stages for one of the following procedures in NR SA:
- Incoming NG handover
- Intra-gNodeB handover
- Inter-system IRAT handover from EPS
- Xn handover
Failure can have one of following causes:
- Reject because of load control.
- Other reasons, such as failure of selecting suitable UeHandler.
",PROPRIETARY,,,,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpMeasurementConfigurationSa,3328,UE,Configuration of measurement report.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpMeasurementReportEndcEval,3211,UE,"Event related to reception of EN-DC event measurement report.
",PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band, High-band","EN-DC, CR EN-DC",,,USED
CuCpMeasurementReportNrdcEval,3266,UE,"Event related to reception of NR-DC event measurement report.
",PROPRIETARY,,"0,1,2",UU,,,,High-band,"NR SA, CR NR SA","LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpMeasurementReportSaEval,3173,UE,"Event related to reception of NR SA event measurement report.
",PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpMnNrdcSetupBufMonConfig,3269,UE,"Generated when downlink buffer monitoring is configured for a UE.
Contains information about configuration of downlink buffer monitoring for NR-DC setup.
",PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpMnNrdcSetupBufMonReport,3270,UE,"Generated when downlink buffer monitoring measurement is reported for a UE.
Contains information related to buffer based NR-DC setup.
",PROPRIETARY,,"0,1,2",F1,,,,"Low-band, Mid-band",NR SA,"LicenseKeyId: CXC4012582, LicenseMoId: NrNrDualConnectivity, LicenseName: NR-NR Dual Connectivity",,USED
CuCpNcgiMeasurement,3208,UE,Event for intra-frequency handover-triggered ANR for NR SA.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgDeactivateTrace,3249,UE,DEACTIVATE TRACE message received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpNgAmfConfigurationUpdate,3163,CUCP,AMF CONFIGURATION UPDATE received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgAmfConfigurationUpdateAcknowledge,3164,CUCP,AMF CONFIGURATION UPDATE ACKNOWLEDGE sent. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgAmfConfigurationUpdateFailure,3165,CUCP,AMF CONFIGURATION UPDATE FAILURE sent. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpNgDownlinkNasTransport,3025,UE,DOWNLINK NAS TRANSPORT received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgDownlinkRanConfigurationTransfer,3201,CUCP,DOWNLINK RAN CONFIGURATION TRANSFER message received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgDownlinkRanStatusTransfer,3092,UE,DOWNLINK RAN STATUS TRANSFER received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgDownlinkUeAssociatedNrppaTransport,3215,UE,DOWNLINK UE ASSOCIATED NRPPA TRANSPORT message received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpNgErrorIndicationCommon,3026,CUCP,Common NGAP ERROR INDICATION sent or received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgErrorIndicationDedicated,3027,UE,Dedicated ERROR INDICATION sent or received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverCancel,3094,UE,HANDOVER CANCEL sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverCancelAcknowledge,3093,UE,HANDOVER CANCEL ACKNOWLEDGE received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverCommand,3095,UE,HANDOVER COMMAND received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverFailure,3096,UE,HANDOVER FAILURE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverNotify,3097,UE,HANDOVER NOTIFY sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverPreparationFailure,3098,UE,HANDOVER PREPARATION FAILURE received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverRequest,3100,UE,HANDOVER REQUEST received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverRequestAcknowledge,3099,UE,HANDOVER REQUEST ACKNOWLEDGE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgHandoverRequired,3101,UE,HANDOVER REQUIRED sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgInitialContextSetupFailure,3028,UE,INITIAL CONTEXT SETUP FAILURE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgInitialContextSetupRequest,3029,UE,INITIAL CONTEXT SETUP REQUEST received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgInitialContextSetupResponse,3030,UE,INITIAL CONTEXT SETUP RESPONSE sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgInitialUeMessage,3031,UE,INITIAL UE MESSAGE sent. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgLocationReport,3252,UE,LOCATION REPORT message sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpNgLocationReportingControl,3251,UE,LOCATION REPORTING CONTROL message received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpNgLocationReportingFailureIndication,3253,UE,LOCATION REPORTING FAILURE INDICATION message sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band",NR SA,,,USED
CuCpNgNasNonDeliveryIndication,3023,UE,NAS NON DELIVERY INDICATION sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgPaging,3003,CUCP,PAGING received. See 3GPP TS 38.413.,STANDARDIZED,,,,,,,"Low-band, Mid-band, High-band","NR SA, CR NR SA",,,USED
CuCpNgPathSwitchRequest,3176,UE,NGAP PATH SWITCH REQUEST message sent. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgPathSwitchRequestAcknowledge,3177,UE,NGAP PATH SWITCH REQUEST ACKNOWLEDGE message received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
CuCpNgPathSwitchRequestFailure,3178,UE,NGAP PATH SWITCH REQUEST FAILURE message received. See 3GPP TS 38.413.,STANDARDIZED,,"0,2,3,5",NG,,,,"Low-band, Mid-band","NR SA, CR NR SA",,,USED
