Managed Areas,MO Class,EBS MO,DU Radio Node / Baseband Radio Node support,Counter,Counter Type,Counter Size,Description,Unit,Condition,Sampling Rate,Scanner,Counter is reset after measurement period,Related PM Event,Pico Support? (Y/N)
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiNonMcPtt,ACC,Single,The total number of successful CGI measurement with AG for  ANR PCI Conflict when the UE has non-MCPTT bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiQci1,ACC,Single,The total number of successful CGI measurement with AG for Non-planned PCI  when the UE has QCI1 bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_NON_PLANNED_PCI_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_NON_PLANNED_PCI_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiQci1,ACC,Single,The total number of successful CGI measurement with AG for  ANR PCI Conflict when the UE has QCI1 bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiQci1,ACC,Single,The total number of successful CGI measurement with AG for mobility to CSG cells when the UE has QCI1 bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_CSG_CELL_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_CSG_CELL_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrMeasFailEutranCgi,ACC,Single,The counter is stepped every time the ANR function can not perform a EUtran PCI ANR measurement due to lack of UE capability. The counter is created in OSS from the event INTERNAL_PROC_CGI_REPORT,,OSS step this counter when the following event is received; INTERNAL_PROC_CGI_REPORT containing information that the UE not capable of performing CGI.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrMeasFailEutranPci,ACC,Single,The counter is stepped every time the ANR function can not perform a EUtran PCI ANR measurement due to lack of UE capability. The counter is created in OSS from the event INTERNAL_EVENT_ANR_PCI_REPORT_WANTED,,"OSS step this counter when the following event is received; INTERNAL_EVENT_ANR_PCI_REPORT_WANTED with failure and one or more of the following; Lack of UE capability for CGI, LTE or Frequency.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_ANR_PCI_REPORT_WANTED,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrMeasSuccEutranCgi,ACC,Single,The counter is stepped every time the ANR function can not perform a EUtran PCI ANR measurement due to lack of UE capability. The counter is created in OSS from the event INTERNAL_PROC_CGI_REPORT,,OSS step this counter when the following event is received; INTERNAL_PROC_CGI_REPORT containing no information that the UE not capable of performing CGI.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrMeasSuccEutranPci,ACC,Single,The counter is stepped every time the ANR function can perform an EUtran ANR measurement. The counter is created in OSS from the event INTERNAL_EVENT_ANR_PCI_REPORT_WANTED.,,"OSS steps this counter when the following event is received; INTERNAL_EVENT_ANR_PCI_REPORT_WANTED, with success.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_ANR_PCI_REPORT_WANTED,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrMeasSuccNrCgi,ACC,Single,The counter is stepped every time the ANR function can successfully perform a NR CGI measurement. The counter is created in OSS from the event INTERNAL_PROC_ANR_CGI_REPORT.,,OSS step this counter when the following event is received; INTERNAL_PROC_ANR_CGI_REPORT with success and the RAT type is NR.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrMeasSuccNrCgiNoSib1,ACC,Single,The counter is stepped every time the ANR function can successfully perform a NR CGI measurement with NoSIB1. The counter is created in OSS from the event INTERNAL_PROC_ANR_CGI_REPORT.,,"OSS step this counter when the following event is received; INTERNAL_PROC_ANR_CGI_REPORT, with NoSIB1 and the RAT type is NR.",,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrNeighbrelAddEUtran,ACC,Single,The counter is stepped every time ANR or X2 Configuration has added EUtranCellRelation. Candidate cell relations are not counted. The counter is created in OSS from the event INTERNAL_EVENT_NEIGHBREL_ADD when RAT is Eutran.,Neighbour Relation,"OSS steps this counter when the following event is received; INTERNAL_EVENT_NEIGHBREL_ADD when RAT is Eutran, result successful.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_NEIGHBREL_ADD,Y
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrNeighbrelAddGeran,ACC,Single,The counter is stepped every time the ANR function has added a neighbour GeranCellRelation. The counter is created in OSS from the event INTERNAL_EVENT_NEIGHBREL_ADD when RAT is Geran.,Neighbour Relation,"OSS steps this counter when the following event is received; INTERNAL_EVENT_NEIGHBREL_ADD when RAT is Geran, result successful.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_NEIGHBREL_ADD,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrNeighbrelAddNr,ACC,Single,The counter is stepped every time the ANR function has added a neighbour NR cell relation. The counter is created in OSS from the event INTERNAL_EVENT_NEIGHBREL_ADD when RAT is NR.,Neighbour Relation,"OSS steps this counter when the following event is received; INTERNAL_EVENT_NEIGHBREL_ADD when RAT is NR, result successful.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_NEIGHBREL_ADD,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrNeighbrelAddUtran,ACC,Single,The counter is stepped every time the ANR function has added a neighbour UtranCellRelation. The counter is created in OSS from the event INTERNAL_EVENT_NEIGHBREL_ADD when RAT is Utran.,Neighbour Relation,"OSS steps this counter when the following event is received; INTERNAL_EVENT_NEIGHBREL_ADD when RAT is Utran, result successful.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_NEIGHBREL_ADD,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrNeighbrelDelGeran,ACC,Single,The counter is stepped every time the ANR function has deleted a neighbor GERAN cell relation. The counter is created in OSS from the event INTERNAL_EVENT_ NEIGHBREL_REMOVE.,Neighbour Relation,"OSS step this counter when the following event is received; INTERNAL_EVENT_ NEIGHBREL_REMOVE, with success.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_NEIGHBREL_REMOVE,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrNeighbrelDelNr,ACC,Single,The counter is stepped every time the ANR function has deleted a neighbor NR cell relation. The counter is created in OSS from the event INTERNAL_EVENT_ NEIGHBREL_REMOVE.,Neighbour Relation,"OSS step this counter when the following event is received; INTERNAL_EVENT_ NEIGHBREL_REMOVE, with success.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_NEIGHBREL_REMOVE,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrNeighbrelDelUtran,ACC,Single,The counter is stepped every time the ANR function has deleted a neighbor Utran cell relation. The counter is created in OSS from the event INTERNAL_EVENT_ NEIGHBREL_REMOVE.,Neighbour Relation,"OSS step this counter when the following event is received; INTERNAL_EVENT_ NEIGHBREL_REMOVE, with success.",,Not included in any pre-defined scanner,,INTERNAL_EVENT_NEIGHBREL_REMOVE,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrPciConflictMeasFailEutranCgi,ACC,Single,The total number of CGI measurement failure for ANR PCI Conflict due to lack of UE capability.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT is received and measurement result is failed due to lack of UE capability.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrPciConflictMeasSuccEutranCgi,ACC,Single,The total number of successful CGI measurement for ANR PCI Conflict.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrUeCapFailGeran,ACC,Single,"The counter is stepped every time the ANR function can not perform an Geran PCI ANR measurement due to UE capability. The counter is also stepped every time a PCI measurement is initiated even though the UE lacks the capability of performing CGI measurement. The counter is created in OSS from the event INTERNAL_EVENT_ANR_PCI_REPORT_WANTED when at least one of the follow is true; No DRX support, no periodic SON measurement support or frequencies not supported.",,OSS steps this counter when the following event is received; INTERNAL_EVENT_ANR_PCI_REPORT_WANTED with failure due to UE capability missing for ANR Geran measurements.,,Not included in any pre-defined scanner,,INTERNAL_EVENT_ANR_PCI_REPORT_WANTED,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrUeCapFailUtran,ACC,Single,"The counter is stepped every time the ANR function can not perform an Utran PCI ANR measurement due to UE capability. The counter is also stepped every time a PCI measurement is initiated even though the UE lacks the capability of performing CGI measurement. The counter is created in OSS from the event INTERNAL_EVENT_ANR_PCI_REPORT_WANTED when at least one of the follow is true; No DRX support, no periodic SON measurement support or frequencies not supported.",,OSS steps this counter when the following event is received; INTERNAL_EVENT_ANR_PCI_REPORT_WANTED with failure due to UE capability missing for ANR Utran measurements.,,Not included in any pre-defined scanner,,INTERNAL_EVENT_ANR_PCI_REPORT_WANTED,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrUeCapSuccGeran,ACC,Single,The counter is stepped every time the ANR function can initiated an Geran ANR measurement. The counter is created in OSS from the event INTERNAL_EVENT_ANR_PCI_REPORT_WANTED with the result success.,,OSS steps this counter when the following event is received; INTERNAL_EVENT_ANR_PCI_REPORT_WANTED with the result success of Geran ANR measurements.,,Not included in any pre-defined scanner,,INTERNAL_EVENT_ANR_PCI_REPORT_WANTED,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAnrUeCapSuccUtran,ACC,Single,The counter is stepped every time the ANR function can initiated an Utran ANR measurement. The counter is created in OSS from the event INTERNAL_EVENT_ANR_PCI_REPORT_WANTED with the result success.,,OSS steps this counter when the following event is received; INTERNAL_EVENT_ANR_PCI_REPORT_WANTED with the result success of Utran ANR measurements.,,Not included in any pre-defined scanner,,INTERNAL_EVENT_ANR_PCI_REPORT_WANTED,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCceUtilDistrPartition$,ACC,PDF[20],"This measurement shall provide a distribution of the CCE Utilization in a partition. 
PDF ranges:
[0]: 0-5 %
[1]: 6-10 %
[2]:11-15 %
[3]: 16-20 %
[4]: 21-25 %
[5]: 26-30 %
[6]: 31-35 %
[7]: 36-40 %
[8]: 41-45 %
[9]: 46-50 %
[10]: 51-55 %
[11]: 56-60 %
[12]: 61-65 %
[13]: 66-70 %
[14]: 71-75 %
[15]: 76-80 %
[16]: 81-85 %
[17]: 86-90 %
[18]: 91-95 %
[19]: 96-100 %",,At transmission by the eNodeB of the corresponding Partition Report event.,,Not included in any pre-defined scanner,,INTERNAL_PER_PARTITION_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeAttLteInterFNpPCI,ACC,PDF[504],The number of attempts S1 inter frequency handover execution to each Non-planned PCI (Femto Cell),,OSS shall steps this counter for each PCI when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO target type is Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeAttLteIntraFNpPCI,ACC,PDF[504],The number of attempts S1 intra frequency handover execution to each Non-planned PCI (Femto Cell),,OSS shall steps this counter for each PCI when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO target type is Intra frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeAttLteSmallCellMcPttAg,ACC,Single,"The number of attempts S1 LTE intra/Inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE has MCPTT bearer.",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeAttLteSmallCellMcPttDrx,ACC,Single,"The number of attempts S1 LTE intra/Inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when non-AG capable UE has MCPTT bearer.",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeAttLteSmallCellNonMcPttAg,ACC,Single,"The number of attempts S1 LTE intra/Inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE has non-MCPTT bearer.",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeAttLteSmallCellNonMcPttDrx,ACC,Single,"The number of attempts S1 LTE intra/Inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when non-AG capable UE has non-MCPTT bearer.",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeAttLteSmallCellQci1Ag,ACC,Single,"The number of attempts S1 LTE intra/Inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE is having QCI1 bearer",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeAttLteSmallCellQci1Drx,ACC,Single,"The number of attempts S1 LTE intra/Inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when Non AG capable UE is having QCI1 bearer",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeSuccLteInterFNpPCI,ACC,PDF[504],The number of successful S1 inter frequency handover execution to each Non-planned PCI (Femto Cell),,OSS shall steps this counter for each PCI when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO result is successful for the Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeSuccLteIntraFNpPCI,ACC,PDF[504],The number of successful S1 intra frequency handover execution to each Non-planned PCI (Femto Cell),,OSS shall steps this counter for each PCI when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO result is successful for the Intra frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeSuccLteSmallCellMcPttAg,ACC,Single,"The number of successful S1 LTE intra/inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE has MCPTT bearer.",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO result is successful for the Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeSuccLteSmallCellMcPttDrx,ACC,Single,"The number of successful S1 LTE intra/inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when non-AG capable UE has MCPTT bearer.",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO result is successful for the Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeSuccLteSmallCellNonMcPttAg,ACC,Single,"The number of successful S1 LTE intra/inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE has non-MCPTT bearer.",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO result is successful for the Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeSuccLteSmallCellNonMcPttDrx,ACC,Single,"The number of successful S1 LTE intra/inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when non-AG capable UE has non-MCPTT bearer.",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO result is successful for the Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeSuccLteSmallCellQci1Ag,ACC,Single,"The number of successful S1 LTE intra/inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE is having QCI1 bearer",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO result is successful for the Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoExeSuccLteSmallCellQci1Drx,ACC,Single,"The number of successful S1 LTE intra/inter frequency handover execution to small cell (i.e.NpPCI, CSG, Hybrid cell) when Non AG capable UE is having QCI1 bearer",,OSS shall steps this counter when the following pmEvent INTERNAL_PROC_HO_EXEC_S1_OUT is received and the HO result is successful for the Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_EXEC_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoPrepAttLteInterFNpPCI,ACC,PDF[504],The number of attempts to start S1 inter frequency handover preparation to each Non-planned PCI (Femto Cell),,OSS shall step this counter for each PCI when the following pmEvent INTERNAL_PROC_HO_PREP_S1_OUT is received and the HO target type is Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_PREP_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoPrepAttLteIntraFNpPCI,ACC,PDF[504],The number of attempts to S1 LTE intra frequency handover preparation to each Non-planned PCI (Femto Cell),,OSS shall step this counter for each PCI when the following pmEvent INTERNAL_PROC_HO_PREP_S1_OUT is received and the HO target type is Intra frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_PREP_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoPrepAttLteSmallCellMcPttAg,ACC,Single,"The number of attempts to S1 LTE intra/inter frequency handover preparation to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE has MCPTT bearer.",,OSS shall step this counter when the following pmEvent INTERNAL_PROC_HO_PREP_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_PREP_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoPrepAttLteSmallCellMcPttDrx,ACC,Single,"The number of attempts to S1 LTE intra/inter frequency handover preparation to small cell (i.e.NpPCI, CSG, Hybrid cell) when non-AG capable UE has MCPTT bearer.",,OSS shall step this counter when the following pmEvent INTERNAL_PROC_HO_PREP_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_PREP_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoPrepAttLteSmallCellNonMcPttAg,ACC,Single,"The number of attempts to S1 LTE intra/inter frequency handover preparation to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE has non-MCPTT bearer.",,OSS shall step this counter when the following pmEvent INTERNAL_PROC_HO_PREP_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_PREP_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoPrepAttLteSmallCellNonMcPttDrx,ACC,Single,"The number of attempts to S1 LTE intra/inter frequency handover preparation to small cell (i.e.NpPCI, CSG, Hybrid cell) when non-AG capable UE has non-MCPTT bearer.",,OSS shall step this counter when the following pmEvent INTERNAL_PROC_HO_PREP_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_PREP_S1_OUT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmCellHoPrepAttLteSmallCellQci1Ag,ACC,Single,"The number of attempts to S1 LTE intra/inter frequency handover preparation to small cell (i.e.NpPCI, CSG, Hybrid cell) when AG capable UE is having QCI1 bearer",,OSS shall step this counter when the following pmEvent INTERNAL_PROC_HO_PREP_S1_OUT is received and the HO target type is Intra/Inter frequency femto.,,Not included in any pre-defined scanner,,INTERNAL_PROC_HO_PREP_S1_OUT,N
