Model,MO Class Name,Action,Description,Return Type,Parameter Name,Parameter Description,Data Type,Range and Values,Sequence Length,Deprecated,Obsolete,Precondition,Disturbances,Dependencies,Preliminary
GNBCUCPFunction,NRCellCU,promoteLwEUtranCellRelation,"Creates EUtranCellRelation instance based on EUtranCellRelation lightweight object.

This way lightweight EUtran cell relation is promoted to MO instance.
Additionally, if ExternalEUtranCell instance in lightweight EUtran cell relation is also a lightweight object and has ExternalENodeBFunction MO as existing parent, action also creates ExternalEUtranCell instance based on ExternalEUtranCell lightweight object.
If eNodeBId and cellId parameters are used, eCI is not needed and opposite is also true.
When eNodeBId, cellId, or both input parameters are used together with eCI, then all parameters have to be consistent.",void,eCI,E-UTRAN cell identity (Optional).,int32,0..268435455,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayNRCellRelation,"Gives information about NR cell relations.

Lightweight objects are included. NRCellRelation instances are included by default but can be excluded.",string,pLMNId,NR cell PLMN identity (Optional).,struct PLMNId,,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayNRCellRelation,"Gives information about NR cell relations.

Lightweight objects are included. NRCellRelation instances are included by default but can be excluded.",string,gNodeBIdLength,NR cell gNodeB identity length (Optional).,int32,22..32,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayNRCellRelation,"Gives information about NR cell relations.

Lightweight objects are included. NRCellRelation instances are included by default but can be excluded.",string,gNodeBId,The gNodeB identity (Optional).,int64,0..4294967295,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayNRCellRelation,"Gives information about NR cell relations.

Lightweight objects are included. NRCellRelation instances are included by default but can be excluded.",string,cellId,Cell identity (Optional).,int32,0..16383,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayNRCellRelation,"Gives information about NR cell relations.

Lightweight objects are included. NRCellRelation instances are included by default but can be excluded.",string,nCI,NR cell identity (Optional).,int64,0..68719476735,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayNRCellRelation,"Gives information about NR cell relations.

Lightweight objects are included. NRCellRelation instances are included by default but can be excluded.",string,includeManagedObjects,Whether NRCellRelation instances are included in output (Optional).,boolean,,1,,,,,,
GNBCUCPFunction,NRCellCU,displayNRCellRelation,"Gives information about NR cell relations.

Lightweight objects are included. NRCellRelation instances are included by default but can be excluded.",string,format,Format of returned information (Optional).,enum CellRelationOutput,"UNFORMATTED_TEXT
FORMATTED_TEXT",1,,,,,,
GNBCUCPFunction,NRCellCU,displayNRCellRelation,"Gives information about NR cell relations.

Lightweight objects are included. NRCellRelation instances are included by default but can be excluded.",string,arcBalanceThreshold,"Minimum Advanced RAN Coordination balance threshold (Optional).

Printed from NRCellRelation instances.
Obsolete: Since 23.Q3. Planned to be removed.",int32,0..100,1,,,,,,
GNBCUCPFunction,NRCellCU,displayEUtranCellRelation,"Gives information about E-UTRAN cell relations.

Lightweight objects are included. EUtranCellRelation instances are included by default but can be excluded.",string,pLMNId,E-UTRAN cell PLMN identity (Optional).,struct PLMNId,,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayEUtranCellRelation,"Gives information about E-UTRAN cell relations.

Lightweight objects are included. EUtranCellRelation instances are included by default but can be excluded.",string,eNodeBId,The eNodeB identity (Optional).,int32,0..1048575,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayEUtranCellRelation,"Gives information about E-UTRAN cell relations.

Lightweight objects are included. EUtranCellRelation instances are included by default but can be excluded.",string,cellId,Cell identity (Optional).,int32,0..255,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayEUtranCellRelation,"Gives information about E-UTRAN cell relations.

Lightweight objects are included. EUtranCellRelation instances are included by default but can be excluded.",string,eCI,E-UTRAN cell identity (Optional).,int32,0..268435455,0..1,,,,,,
GNBCUCPFunction,NRCellCU,displayEUtranCellRelation,"Gives information about E-UTRAN cell relations.

Lightweight objects are included. EUtranCellRelation instances are included by default but can be excluded.",string,includeManagedObjects,Whether EUtranCellRelation instances are included in output (Optional).,boolean,,1,,,,,,
GNBCUCPFunction,NRCellCU,displayEUtranCellRelation,"Gives information about E-UTRAN cell relations.

Lightweight objects are included. EUtranCellRelation instances are included by default but can be excluded.",string,format,Format of returned information (Optional).,enum CellRelationOutput,"UNFORMATTED_TEXT
FORMATTED_TEXT",1,,,,,,
GNBCUCPFunction,NRCellCU,displayRibTmRelation,"Displays information about RIB-TM relations.

Both lightweight Radio Interface-Based Time Monitoring (RIB-TM) relations and RibTmRelation instances are displayed.",string,,,,,,,Since 24.Q3. Planned to be removed.,,,,
GNBCUCPFunction,NRCellCU,promoteLwRibTmRelation,"Creates RibTmRelation instance based on lightweight RIB-TM relation.

By this way, lightweight Radio Interface-Based Time Monitoring (RIB-TM) relation is promoted to RibTmRelation instance. Promoted RIB-TM relation cannot be removed automatically.",void,nRPCI,"Physical cell ID of an external NR cell (Mandatory).

Obsolete: Since 24.Q3. Planned to be removed.",int32,0..1007,1,,Since 24.Q3. Planned to be removed.,,,,
GNBDUFunction,NRCellDU,setCbrsReconfigPending,"Initiates reconfiguration of CBRS cell.

Reconfiguration is completed by next MO unlock.

Executed by Domain Coordinator. Must not be executed manually.",void,,,,,,,,,,,
GNBDUFunction,NRSectorCarrier,setCbrsTxExpireTime,"Requests node to set transmission expire time on externally supervised sector carrier.

Sets new date and time (current time + transmitExpireTime) to cbrsTxExpireTime on sector carrier. If transmitExpireTime is -1, attribute is set to empty.

Executed by Domain Coordinator. Must not be executed manually.",void,transmitExpireTime,A time period granted for transmission on the assigned spectrum.,int32,-1..2147483647,1,,,,"Executing this action can cause loss of traffic. Sector carrier can be disabled automatically after transmitExpireTime, or immediately if transmitExpireTime is set to -1.",,
GNBDUFunction,NRSectorCarrier,setCbrsReconfigPending,"Initiates reconfiguration of CBRS sector carrier.

Reconfiguration is completed by next MO unlock.

Executed by Domain Coordinator. Must not be executed manually.",void,,,,,,,,,,,
MceFunction,MceFunction,updateMMEConnection,"This action shall make it possible to order the RBS to make a new DNS lookup to get possible new MME Pool addresses. The orderCode has two different options:

- Retain: This option will retain all connections that were included in DNS response and the connections that weren't included in the response will be removed. For the IP addresses that were unknown for the RBS, the RBS will establish connections to those MMEs.

- Renew All existing: The RBS performs a DNS lookup. Release all M3 connections to the MMEs and connect to the MMEs that are included in the DNS response.

This action should be used only when dnsLookupOnTai has the value ON. The action is rejected if dnsLookupState has the value OFF or if MBMS Service is inoperable.",void,orderCode,,enum OrderCode,"RETAIN_EXISTING
RENEW_ALL_EXISTING",1,,,,,,
ENodeBFunction,UtranFreqRelation,setMaxNrUtranCellRelations,This MO action is used for setting the maximum number of UtranCellRelations per UtranFreqRelation. This action will remove UtranCellRelations so the number of relations goes down to the value of MaxNrUtranCellRelation. Relations that were latest used are kept.,void,maxNrUtranCellRelations,This specifies the maximum number of UtranCellRelations.,int32,0..64,1,,,,Executing this action can cause loss of traffic. Lowering the value can remove relations.,,
ENodeBFunction,ExternalEUtranCellFDD,changeFrequency,"Changes frequency of external cell. Following attributes are updated:
- additionalFreqBandList
- eutranFrequencyRef
- freqBand
An instance of EUtranFrequency with new frequency is created (if not already existing).
For each local cell with existing cell relation to the external cell, the following instances are created:
- New EUtranFreqRelation instance (if not already existing), with same attribute values as the EUtranFreqRelation instance referring to old frequency of the external cell.
- New EUtranCellRelation instance, with same attribute values as the previous EUtranCellRelation referring to the external cell.",void,earfcn,New DL frequency for this cell.,int32,"0..17999, 46590..262143",1,,,,,,
ENodeBFunction,ENodeBFunction,updateMMEConnection,"This action shall make it possible to order the RBS to make a new DNS lookup to get possible new MME Pool addresses. The orderCode has two different options:

- Retain: This option will retain all connections that were included in DNS response and the connections that were not included in the response will be removed. For the IP addresses that were unknown for the RBS, the RBS will establish connections to those MMEs.


- Renew All existing: The RBS performs a DNS lookup. Release all S1 connections to the MMEs and connect to the MMEs that are included in the DNS response.

This action should be used only when dnsLookupOnTai has the value ON. The action is rejected if dnsLookupState has the value OFF.",void,orderCode,,enum OrderCode,"RETAIN_EXISTING
RENEW_ALL_EXISTING",1,,,,,,
ENodeBFunction,ENodeBFunction,collectDynamicCellStatus,"Returns a snapshot of the traffic status of the node divided per cell, in the form; number of attached UEs and set up radio bearers.",string,dynamicCellStatusOutput,"Specifies the format of the returned information. It can be either of:
- Unformatted text, suitable for on-screen reading.
- Formatted text, suitable for automated interpretation, currently JSON (JavaScript Object Notation).",enum DynamicCellStatusOutput,"UNFORMATTED_TEXT
FORMATTED_TEXT",1,,,,,,
ENodeBFunction,EUtranCellFDD,changeFrequency,"Changes the frequency of the cell. The attribute earfcndl is changed. This MO action includes the following steps:

- An instance of EUtranFrequency with correct frequency is created (if not already existing).


- For neigbouring cells with existing cell relations to the cell, create new EUtranFreqRelation instances (if not already existing) and new EUtranCellRelation instances (with the same attribute values as the existing EUtranFreqRelation and EUtranCellRelation MOs).


- For the changed cell an instance of EUtranFreqRelation with reference to the correct instance of EUtranFrequency is created, if not already existing (with the same attribute values as the existing EUtranFreqRelation MO).

Note that changing frequency of a EUtranCellFDD will imply that all other eNBs that have this cell configured as an ExternaEUtranCellFDD will be updated with the new frequency. This means that new EUtranFreqRelation and corresponding EUtranFrequency MOs might be created.

",void,earfcn,The new DL frequency for this cell.,int32,"0..17999, 46590..262143",1,,,,Executing this action can cause loss of traffic. Cell is locked and unlocked automatically if needed. Attribute prioAdditionalFreqBandList is reset to empty list if new additionalFreqBandList does not contain bands included in prioAdditionalFreqBandList.,,
ENodeBFunction,EUtranCellFDD,stopAilg,Stops execution of the optional feature Air Interface Load Generator.,void,,,,,,,,,,,
ENodeBFunction,EUtranCellFDD,startAilg,Starts execution of the optional feature Air Interface Load Generator.,void,,,,,,,,,Executing this action can cause loss of traffic if high priority load is configured.,,
ENodeBFunction,EUtranCellTDD,changeFrequency,"Changes the frequency of the cell. The attribute earfcn is changed. This MO action includes the following steps:


- An instance of EUtranFrequency with correct frequency is created (if not already existing).


- For neigbouring cells with existing cell relations to the cell, create new EUtranFreqRelation instances (if not already existing) and new EUtranCellRelation instances (with the same attribute values as the existing EUtranFreqRelation and EUtranCellRelation MOs).


- For the changed cell an instance of EUtranFreqRelation with reference to the correct instance of EUtranFrequency is created, if not already existing (with the same attribute values as the existing EUtranFreqRelation MO).

Note that changing frequency of a EUtranCellTDD will imply that all other eNBs that have this cell configured as an ExternaEUtranCellTDD will be updated with the new frequency. This means that new EUtranFreqRelation and corresponding EUtranFrequency MOs might be created.

",void,earfcn,"The new frequency for this cell.

",int32,36000..262143,1,,,,Executing this action can cause loss of traffic. Cell is locked and unlocked automatically if needed. LAA cell (attribute isLaa = true) must be locked and unlocked manually for the change of frequency to take effect. Attribute prioAdditionalFreqBandList is reset to empty list if new additionalFreqBandList does not contain bands included in prioAdditionalFreqBandList.,,
ENodeBFunction,EUtranCellTDD,setCbrsTxExpireTime,"Action requests node to set transmission expire time on externally supervised cell.
Action sets date and time to attribute cbrsTxExpireTime on cell. If transmitExpireTime is -1, """" is set (empty).
Spectrum access system controls transmission. Do not execute manually.",void,transmitExpireTime,A time period granted for transmission on the assigned spectrum.,int32,,1,,,,"Executing this action can cause loss of traffic. Cell can be disabled automatically after transmitExpireTime, or immediately if transmitExpireTime is set to -1.",,
ENodeBFunction,EUtranCellTDD,stopAilg,Stops execution of the optional feature Air Interface Load Generator.,void,,,,,,,,,,,
ENodeBFunction,EUtranCellTDD,startAilg,Starts execution of the optional feature Air Interface Load Generator.,void,,,,,,,,,Executing this action can cause loss of traffic if high priority load is configured.,,
ENodeBFunction,EUtranCellTDD,setCbrsReconfigPending,"Initiates reconfiguration of CBRS cell.

Reconfiguration is completed by next cell unlock.

Executed by Domain Coordinator. Must not be executed manually.",void,,,,,,,,,,,
ENodeBFunction,ExternalEUtranCellTDD,changeFrequency,"Changes frequency of external cell. Following attributes are updated:
- additionalFreqBandList
- eutranFrequencyRef
- freqBand
An instance of EUtranFrequency with new frequency is created (if not already existing).
For each local cell with existing cell relation to the external cell, the following instances are created:
- New EUtranFreqRelation instance (if not already existing), with same attribute values as the EUtranFreqRelation instance referring to old frequency of the external cell.
- New EUtranCellRelation instance, with same attribute values as the previous EUtranCellRelation referring to the external cell.",void,earfcn,New frequency for this cell.,int32,36000..262143,1,,,,,,
ENodeBFunction,ExternalGeranCell,changeFrequency,"Changes the frequency of an external Geran cell.
Before running this action, make sure that the target GeranFrequency for the ExternalGeranCell  is created and that it refer to one of the GeranFreqGroup(s) that is referred from the same eUtranCell as the ExternalGeranCell.
This MO action includes the following steps:
- The ExternalGeranCell will be updated to refer to  the target GeranFrequency.
- If the target GeranFrequency is not referred from same eUtranCell(s) as the ExternalGeranCell included in the changeFrequency  action,  the action will fail and an exception will be issued.",void,arfcnValueGeranDl,The new DL frequency for this cell.,int32,0..1023,1,,,,,,
ENodeBFunction,ExternalGeranCell,changeFrequency,"Changes the frequency of an external Geran cell.
Before running this action, make sure that the target GeranFrequency for the ExternalGeranCell  is created and that it refer to one of the GeranFreqGroup(s) that is referred from the same eUtranCell as the ExternalGeranCell.
This MO action includes the following steps:
- The ExternalGeranCell will be updated to refer to  the target GeranFrequency.
- If the target GeranFrequency is not referred from same eUtranCell(s) as the ExternalGeranCell included in the changeFrequency  action,  the action will fail and an exception will be issued.",void,bandIndicator,"The attribute indicates the GERAN frequency band if the ARFCN value concerns either a DCS 1800 or a PCS 1900 carrier frequency. For ARFCN values not associated with either of these bands, the indicator has no meaning.",enum BandIndicator,"DCS_1800
PCS_1900",1,,,,,,
ENodeBFunction,ExternalUtranCellFDD,changeFrequency,"Changes the frequency of the external cell. This MO action includes the following steps:
- Create the UtranFrequency MO (with the specified arfcnValueUtranDl) if it does not already exist.
- Create the UtranFreqRelation MO (with the same attribute values as the existing UtranFreqRelation MO) if it does not already exist.
- Create a new ExternalUtranCellFDD MO (with the same attribute values as the existing ExternalUtranCellFDD MO) under the specified UtranFrequency MO.
- For each UtranCellRelation to the old ExternalUtranCellFDD, create a new UtranCellRelation MO (with the same attribute values as the existing UtranCellRelation MO) referring to the new ExternalUtranCellFDD MO. The old UtranCellRelation MOs are then removed.
- Remove the old ExternalUtranCellFDD MO. This will be performed after successful execution of this MO action. ",void,arfcnValueUtranDl,The new DL frequency for this cell.,int32,0..16383,1,,,,,,
ENodeBFunction,ExternalUtranCellTDD,changeFrequency,"Changes the frequency of the external cell. This MO action includes the following steps:
 - Create the UtranFrequency MO (with the specified arfcnValueUtranDl) if it does not already exist.
 - Create the UtranTDDFreqRelation MO (using default values for attributes) if it does not already exist.
 - Create a new ExternalUtranCellTDD MO (with the same attribute values as the existing ExternalUtranCellTDD MO) under the specified UtranFrequency MO.
 - For each UtranCellRelation to the old ExternalUtranCellTDD, create a new UtranCellRelation MO (with the same attribute values as the existing UtranCellRelation MO) referring to the new ExternalUtranCellTDD MO. The old UtranCellRelation MOs are then removed.
 - Remove the old ExternalUtranCellTDD MO. This will be performed after successful execution of this MO action. ",void,arfcnValueUtranDl,The new DL frequency for this cell.,int32,0..16383,1,,,,,,
ENodeBFunction,ParameterChangeRequests,approve,Approves a set of pending change request. ,void,pcrList,A list of integers matching the seqNo of the change requests. Any integer not matching a pending change request will be ignored.,int32,,0..,,,,,,
ENodeBFunction,ParameterChangeRequests,reject,Rejects a set of pending change request.,void,pcrList,A list of integers matching the seqNo of the change requests. Any integer not matching a pending change request will be ignored.,int32,,0..,,,,,,
ENodeBFunction,UnlicensedAccessFunction,convertExternalLaaCells,Changes MO structure related to modeling of external LAA cells. ExternalEUtranCellTDD is converted to ExternalEUtranCellUnlicensed by deleting ExternalEUtranCellTDD and creating ExternalEUtranCellUnlicensed.,void,,,,,,,,Supplemental Downlink with License-Assisted Access license must be deactivated or the primary cell must be LOCKED to take off the traffic from external LAA cells.,,,
ENodeBFunction,EranInterMeLink,resetEranLink,"Resets EranInterMeLink. This is remedy action when EranInterMeLink is disabled. During reset, Elastic RAN traffic for this EranInterMeLink is temporarily stopped. This action does not remove related RBS IDs from activeList of FastCoordinationGroup if link re-establishment is successful. If link re-establishment fails, EranInterMeLink is removed, which also affects activeList of FastCoordinationGroup. Action does not interrupt X2 connection. Action is not allowed for UL CoMP EranInterMeLink when all cells are locked.",void,,,,,,,,,Executing this action causes temporary disturbances of ULCOMP or DL_CA features traffic for this EranInterMeLink.,,
ENodeBFunction,GUtraNetwork,setSimpleGUtranFreqSmtc,"Sets simplified handling of timing attributes in GUtranSyncSignalFrequency MO.

When action is executed, system migrates all existing GUtranSyncSignalFrequency MO instances to new RDN format and attribute simpleGUtranFreqSmtc is set to true.",void,,,,,,,Since 22.Q3. Planned to be removed.,,,,
ENodeBFunction,BandCombCompression,populateRequestedFreqBandsFiltered,Checks for which E-UTRAN frequency relation exists E-UTRAN cell relation with SCell candidate allowed. Populates bands in requestedFreqBandsFiltered. Any previous content of requestedFreqBandsFiltered is removed.,void,,,,,,,,,,,
SystemFunctions,BrmBackupManager,createBackup,"Create a new backup of the backupType and backupDomain managed by this BackupManager.
This is an asynchronous action - the progress and result are reported in the progressReport attribute.",int32,name,"The name of the backup to create.
If specified, input name validation is done by the implementation to forbid illegal names. Backup name validation rules are defined by the implementation and include duplicate backup names, names exceeding maximum allowed length, etc.
If specified it will take precedence over the manualBackupName attribute.
If not specified, the implementation will use the manualBackupName attribute (which could be empty) to generate a backup name automatically with format defined by the implementation, example: <managedElementId>_<YYYY-MM-DDThh-mm-ss>.",string,,0..1,,,,,,
SystemFunctions,BrmBackupManager,deleteBackup,"Delete a backup.
Specified by the backup name, the backupType and backupDomain managed by this BackupManager.
This is an asynchronous action. The progress and result are reported in the progressReport attribute.",int32,name,The name of the backup to delete.,string,,1,,,,,,
SystemFunctions,BrmBackupManager,cancelCurrentAction,"Cancel an ongoing asynchronous createBackup, deleteBackup, or importBackup operation.",int32,,,,,,,,,,,
SystemFunctions,BrmBackupManager,importBackup,"Import a backup using the specified resource identifier (uri). 
This is an asynchronous action where the progress and result are reported in the progressReport attribute. Note that the type and domain of the backup to be imported must match the backup type and domain indicated by the instance of the backup manager on which this action is invoked.",int32,uri,"Specifies url (location) or urn (resource name).
In case of url this is the location where the backup is to be imported from.
In case of urn this is the resource name that encapsulates the backup import procedure.",string,,1,,,,,,
SystemFunctions,BrmBackupManager,importBackup,"Import a backup using the specified resource identifier (uri). 
This is an asynchronous action where the progress and result are reported in the progressReport attribute. Note that the type and domain of the backup to be imported must match the backup type and domain indicated by the instance of the backup manager on which this action is invoked.",int32,password,"The password required to access the location specified by the uri.
If no password is required, this parameter may be omitted.",string,,0..1,,,,,,
SystemFunctions,BrmBackupManager,createSecuredBackupWithURI,"Creates a new Secure backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The encryption key is located remotely at some URI.
This action takes optional backup name, uri, uriPassword, optional keyDecryptionKey and userLabel.
If the key container file is not encrypted then the keyDecryptionKey can be omitted.
userLabel is a free text string used to describe the backup details.",int32,name,"The Secure Backup name to create.
If specified, input name validation is done by the implementation to forbid illegal names. Backup name validation rules are defined by the implementation and include duplicate backup names, names exceeding maximum allowed length, etc.
If specified it will take precedence over the manualBackupName attribute.

If not specified, the implementation will use the manualBackupName attribute (which could be empty) to generate a backup name automatically with format defined by the implementation, example: <managedElementId>_<YYYY-MM-DDThh-mm-ss>.",string,,0..1,,,,,,
SystemFunctions,BrmBackupManager,createSecuredBackupWithURI,"Creates a new Secure backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The encryption key is located remotely at some URI.
This action takes optional backup name, uri, uriPassword, optional keyDecryptionKey and userLabel.
If the key container file is not encrypted then the keyDecryptionKey can be omitted.
userLabel is a free text string used to describe the backup details.",int32,uri,"The remote URI location where the encryption key is located.
For example:
sftp://user@hostname/dir/subdir/key_file",string,,1,,,,,,
SystemFunctions,BrmBackupManager,createSecuredBackupWithURI,"Creates a new Secure backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The encryption key is located remotely at some URI.
This action takes optional backup name, uri, uriPassword, optional keyDecryptionKey and userLabel.
If the key container file is not encrypted then the keyDecryptionKey can be omitted.
userLabel is a free text string used to describe the backup details.",int32,uriPassword,The password for the remote URI where the encryption key file is stored.,string,,1,,,,,,
SystemFunctions,BrmBackupManager,createSecuredBackupWithURI,"Creates a new Secure backup of the backupType and backupDomain managed by the BackupManager.
A secured backup has some sensitive parts of the backup encrypted.
This is an asynchronous action - progress and result will be reported in the progressReport attribute.
The encryption key is located remotely at some URI.
This action takes optional backup name, uri, uriPassword, optional keyDecryptionKey and userLabel.
If the key container file is not encrypted then the keyDecryptionKey can be omitted.
userLabel is a free text string used to describe the backup details.",int32,keyDecryptionKey,Optional password for the encryption key file in case it is encrypted.,string,,0..1,,,,,,
