Model,MO Class Name,Struct Name,Parameter Name,Sequence Length,Parameter Description,Data Type,Range and Values,Default Value,MultiplicationFactor,Unit,Resolution,Dependencies,Deprecated,Obsolete,Preliminary
GNBCUCPFunction,NRCellCU,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,NRCellCU,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,TermPointToGNodeB,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,TermPointToGNodeB,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,NRFreqRelation,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,NRFreqRelation,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,TermPointToAmf,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,TermPointToAmf,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,BarringGroup,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,BarringGroup,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,ExternalBroadcastPLMNInfo,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,ExternalBroadcastPLMNInfo,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,GNBCUCPFunction,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,GNBCUCPFunction,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,EUtranFreqRelation,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,EUtranFreqRelation,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,AdditionalPLMNInfo,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,AdditionalPLMNInfo,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,ExternalENodeBFunction,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,ExternalENodeBFunction,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,ExternalEUtranCell,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,ExternalEUtranCell,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,ExternalNRCellCU,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,ExternalNRCellCU,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,PriorityService,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,PriorityService,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA6Rsrp,hysteresis,1,Hysteresis value for RSRP in event A6 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA6Rsrp,offset,1,RSRP offset value for event A6 measurements.,int32,-150..150,30,0.1,dB,5.0,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA6Rsrp,timeToTrigger,1,Time-to-trigger value for RSRP in event A6 measurements.,int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA6Rsrp,hysteresis,1,Hysteresis value for RSRP in event A6 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA6Rsrp,offset,1,RSRP offset value for event A6 measurements.,int32,-150..150,30,0.1,dB,5.0,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA6Rsrp,timeToTrigger,1,Time-to-trigger value for RSRP in event A6 measurements.,int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,IntraFreqMCCellProfileUeCfg,ReportConfigA6Rsrp,hysteresis,1,Hysteresis value for RSRP in event A6 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,IntraFreqMCCellProfileUeCfg,ReportConfigA6Rsrp,offset,1,RSRP offset value for event A6 measurements.,int32,-150..150,30,0.1,dB,5.0,,,,
GNBCUCPFunction,IntraFreqMCCellProfileUeCfg,ReportConfigA6Rsrp,timeToTrigger,1,Time-to-trigger value for RSRP in event A6 measurements.,int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McfbCellProfile,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McfbCellProfile,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,McfbCellProfile,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McfbCellProfile,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McfbCellProfileUeCfg,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McfbCellProfileUeCfg,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,McfbCellProfileUeCfg,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McfbCellProfileUeCfg,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McpcPSCellProfileUeCfg,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McpcPSCellProfileUeCfg,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,McpcPSCellProfileUeCfg,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McpcPSCellProfileUeCfg,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McpcPCellProfile,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McpcPCellProfile,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,McpcPCellProfile,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McpcPCellProfile,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McpcPSCellProfile,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McpcPSCellProfile,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,McpcPSCellProfile,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McpcPSCellProfile,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McpcPCellProfileUeCfg,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McpcPCellProfileUeCfg,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,McpcPCellProfileUeCfg,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McpcPCellProfileUeCfg,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,PmUeIntraFreqCellProfile,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,PmUeIntraFreqCellProfile,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,PmUeIntraFreqCellProfile,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,PmUeIntraFreqCellProfile,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,IntraFreqMCCellProfileUeCfg,ReportConfigA1A2Rsrp,hysteresis,1,"Hysteresis value for RSRP in UE DL event A1, A2, or both measurements.",int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,IntraFreqMCCellProfileUeCfg,ReportConfigA1A2Rsrp,threshold,1,"RSRP threshold value for UE DL event A1, A2, or both measurements.",int32,-156..-29,-156,,dBm,,,,,
GNBCUCPFunction,IntraFreqMCCellProfileUeCfg,ReportConfigA1A2Rsrp,timeToTrigger,1,"Time-to-trigger value for RSRP in UE DL event A1, A2, or both measurements.",int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,IntraFreqMCCellProfileUeCfg,ReportConfigA1A2Rsrp,timeToTriggerA1,1,"Time-to-trigger value for event A1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McfbCellProfile,ReportConfigA1A2Rsrq,hysteresis,1,Hysteresis value for RSRQ in event A1 and A2 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McfbCellProfile,ReportConfigA1A2Rsrq,threshold,1,RSRQ threshold value for event A1 and A2 measurements.,int32,-435..200,-435,0.1,dB,5.0,,,,
GNBCUCPFunction,McfbCellProfile,ReportConfigA1A2Rsrq,timeToTrigger,1,Time-to-trigger value for RSRQ in event A1 and A2 measurements.,int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McfbCellProfile,ReportConfigA1A2Rsrq,timeToTriggerA1,1,"The time-to-trigger value for eventA1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McfbCellProfileUeCfg,ReportConfigA1A2Rsrq,hysteresis,1,Hysteresis value for RSRQ in event A1 and A2 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McfbCellProfileUeCfg,ReportConfigA1A2Rsrq,threshold,1,RSRQ threshold value for event A1 and A2 measurements.,int32,-435..200,-435,0.1,dB,5.0,,,,
GNBCUCPFunction,McfbCellProfileUeCfg,ReportConfigA1A2Rsrq,timeToTrigger,1,Time-to-trigger value for RSRQ in event A1 and A2 measurements.,int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McfbCellProfileUeCfg,ReportConfigA1A2Rsrq,timeToTriggerA1,1,"The time-to-trigger value for eventA1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McpcPSCellProfileUeCfg,ReportConfigA1A2Rsrq,hysteresis,1,Hysteresis value for RSRQ in event A1 and A2 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McpcPSCellProfileUeCfg,ReportConfigA1A2Rsrq,threshold,1,RSRQ threshold value for event A1 and A2 measurements.,int32,-435..200,-435,0.1,dB,5.0,,,,
GNBCUCPFunction,McpcPSCellProfileUeCfg,ReportConfigA1A2Rsrq,timeToTrigger,1,Time-to-trigger value for RSRQ in event A1 and A2 measurements.,int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,McpcPSCellProfileUeCfg,ReportConfigA1A2Rsrq,timeToTriggerA1,1,"The time-to-trigger value for eventA1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA1A2Rsrq,hysteresis,1,Hysteresis value for RSRQ in event A1 and A2 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA1A2Rsrq,threshold,1,RSRQ threshold value for event A1 and A2 measurements.,int32,-435..200,-435,0.1,dB,5.0,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA1A2Rsrq,timeToTrigger,1,Time-to-trigger value for RSRQ in event A1 and A2 measurements.,int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,CaCellMeasProfileUeCfg,ReportConfigA1A2Rsrq,timeToTriggerA1,1,"The time-to-trigger value for eventA1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA1A2Rsrq,hysteresis,1,Hysteresis value for RSRQ in event A1 and A2 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA1A2Rsrq,threshold,1,RSRQ threshold value for event A1 and A2 measurements.,int32,-435..200,-435,0.1,dB,5.0,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA1A2Rsrq,timeToTrigger,1,Time-to-trigger value for RSRQ in event A1 and A2 measurements.,int32,"0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",160,,ms,,,,,
GNBCUCPFunction,IntraFreqMCCellProfile,ReportConfigA1A2Rsrq,timeToTriggerA1,1,"The time-to-trigger value for eventA1.

If -1, time-to-trigger value from struct member timeToTrigger is used.",int32,"-1, 0, 40, 64, 80, 100, 128, 160, 256, 320, 480, 512, 640, 1024, 1280, 2560, 5120",-1,,ms,,,,,
GNBCUCPFunction,McpcPCellProfileUeCfg,ReportConfigA1A2Rsrq,hysteresis,1,Hysteresis value for RSRQ in event A1 and A2 measurements.,int32,0..150,10,0.1,dB,5.0,,,,
GNBCUCPFunction,McpcPCellProfileUeCfg,ReportConfigA1A2Rsrq,threshold,1,RSRQ threshold value for event A1 and A2 measurements.,int32,-435..200,-435,0.1,dB,5.0,,,,
