PmEvent Name,Event Parameter Name,GPB Field Number,PmEventHeader/Payload,Parameter Description,Parameter Type,MANDATORY,DeprecatedSince,ReasonForDeprecation,UNIT,UsedSubrange,SupportedBands,SupportedDeployments,License,LimitationReason,EventParameterStatus,Filters,Filter Description,Filter DeprecatedSince,Filter ReasonForDeprecation,Filter Status
CuCpA1PolicyQuery,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQuery,gnb_id_length,2,Payload,Length of gNodeB ID bit string representation.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQuery,response_code,3,Payload,Response code.,enum ResponseCode,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQuery,policy_query,4,Payload,"Policy.
Consisting of PolicyScope and PolicyStatement.

PolicyScope consisting of one of the following attribute combinations:
  -ueId, qosId
  -ueId, qosId, sliceId
PolicyStatement with QoSObjectives consisting of one or both of the following attributes:
  -priorityLevel
  -relativePriority
",PolicyQuery,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQuery,gnb_id,5,Payload,The gNodeB identifier.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQuery,policy_type_id,6,Payload,Policy type Id.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQuery,policy_id,7,Payload,Policy Id.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,policy_type_id,4,Payload,Policy type Id.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,response_code,5,Payload,Response code.,enum ResponseCode,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQueryAll,policy_id_list,6,Payload,List of one or more policy Ids.,repeated <int64>,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,response_code,4,Payload,Response code.,enum ResponseCode,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,enforce_status,5,Payload,Enforce status.,enum EnforceStatus,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,enforce_reason,6,Payload,Enforce reason.,enum EnforceReason,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,policy_type_id,7,Payload,Policy type Id,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyStatusQuery,policy_id,8,Payload,Policy Id,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpAmfAutoCreate,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoCreate,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoCreate,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoCreate,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoCreate,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoCreate,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size three, where digits 0 to 9 are encoded 0000 to 1001.

Following digits are encoded in an octet:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit if needed.

PLMN identity consists of three digits from Mobile Country Code (MCC), followed by one of following combinations:
- In case of a two-digit MNC, one filler digit, plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED,,,,,
CuCpAmfAutoCreate,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED,,,,,
CuCpAmfAutoCreate,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED,,,,,
CuCpAmfAutoCreate,amf_domain_name,4,Payload,AMF Domain Name (FQDN - Fully Qualified Domain Name).,string,Y,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED,,,,,
CuCpAmfAutoDelete,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoDelete,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoDelete,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoDelete,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoDelete,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpAmfAutoDelete,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size three, where digits 0 to 9 are encoded 0000 to 1001.

Following digits are encoded in an octet:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit if needed.

PLMN identity consists of three digits from Mobile Country Code (MCC), followed by one of following combinations:
- In case of a two-digit MNC, one filler digit, plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED,,,,,
CuCpAmfAutoDelete,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED,,,,,
CuCpAmfAutoDelete,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED,,,,,
CuCpAmfAutoDelete,amf_domain_name,4,Payload,AMF Domain Name (FQDN - Fully Qualified Domain Name).,string,Y,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED,,,,,
CuCpAnrEval,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpAnrEval,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpAnrEval,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAnrEval,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAnrEval,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpAnrEval,trace_reference,7,PmEventHeader,Globally unique trace reference as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpAnrEval,trace_recording_session_reference,8,PmEventHeader,Unique session ID for UE as defined in 3GPP TS 32.422.,bytes,Y,,,,,,,,,USED,,,,,
CuCpAnrEval,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrEval,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrEval,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrEval,global_gnb_id,4,Payload,"Global gNodeB identifier. Consists of gNodeB identifier and PLMN identifier.

PLMN identifier encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from Mobile Country Code succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",GlobalGnbId,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrEval,nci,5,Payload,NR cell identity. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrEval,event_measurement_type,6,Payload,NR Measurement Type.,enum MeasurementType,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrEval,result,7,Payload,ANR evaluation result.,enum AnrEvalResult,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrEval,meas_id,8,Payload,Measurement identity. See 3GPP TS 38.331.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrEval,neighbour_pci,9,Payload,Physical cell ID of target cell.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelAdd,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelAdd,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelAdd,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelAdd,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelAdd,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,nci,4,Payload,NR cell identity of source cell. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,neighbour_pci,5,Payload,Physical cell ID of target cell.,int64,Y,,,,0 - 1007,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,neighbour_nr_cgi,6,Payload,NR CGI of target cell.,NrCgi,N,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,rat_type,7,Payload,RAT type of target cell.,enum RatType,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,anr_cause,8,Payload,ANR cause.,enum AnrCause,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,neighbour_eutra_cgi,9,Payload,E-UTRA CGI of target cell.,EutraCgi,N,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelAdd,anr_result,10,Payload,Result of ANR cell relation addition or promotion.,enum AnrResult,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelRem,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelRem,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelRem,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelRem,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelRem,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,,,,,,,,,USED,,,,,
CuCpAnrNeighbRelRem,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelRem,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelRem,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelRem,nci,4,Payload,NR cell identity of source cell. See 3GPP TS 38.300.,int64,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelRem,neighbor_pci,5,Payload,Physical cell ID of target cell.,int64,Y,,,,0 - 1007,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelRem,neighbor_nr_cgi,6,Payload,NR CGI of target cell.,NrCgi,N,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
CuCpAnrNeighbRelRem,rat_type,7,Payload,RAT type of target cell.,enum RatType,Y,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED,,,,,
